Ablation;Basis_Modell;Experimenttyp;fold;fit_time_seconds;score_time_seconds;macro_f1;weighted_f1;balanced_accuracy;accuracy;test_macro_f1;train_macro_f1;generalization_gap_macro_f1;test_weighted_f1;train_weighted_f1;generalization_gap_weighted_f1;test_balanced_accuracy;train_balanced_accuracy;generalization_gap_balanced_accuracy;test_accuracy;train_accuracy;generalization_gap_accuracy;model_signature;val_macro_f1;val_weighted_f1;val_balanced_accuracy;val_accuracy
Full model;SGD hinge balanced;Feature-Ablation;1;5.94193172454834;0.8487255573272705;;;;;;0.931856286197519;0.097643072535593;;0.9660259735049422;0.0418025455532262;;0.9724220976654177;0.1305307684212735;;0.965534262485482;0.0423635307781649;3469d860060e;0.834213213661926;0.924223427951716;0.8418913292441441;0.9231707317073172
Full model;SGD hinge balanced;Feature-Ablation;2;5.896103143692017;0.6854774951934814;;;;;;0.874518156680013;0.1232281969012396;;0.9574743639175676;0.0431798858738876;;0.9321499870069924;0.1299146952264733;;0.9537746806039488;0.0440185830429732;3469d860060e;0.7512899597787733;0.91429447804368;0.8022352917805189;0.9097560975609756
Full model;SGD hinge balanced;Feature-Ablation;3;5.892427682876587;0.6675052642822266;;;;;;0.919986794971892;0.0943221914833521;;0.9668136414016676;0.0474835570359182;;0.96748454502412;0.1169910209526076;;0.9664053426248548;0.0480255516840881;3469d860060e;0.8256646034885398;0.9193300843657491;0.8504935240715124;0.9183797909407666
Full model;SGD hinge balanced;Feature-Ablation;4;6.344391345977783;0.6681995391845703;;;;;;0.921429649221704;0.1070912642029076;;0.9653902347802172;0.0438458299311841;;0.9707203426420196;0.1126270088295533;;0.9649825783972126;0.0446864111498258;3469d860060e;0.8143383850187964;0.921544404849033;0.8580933338124663;0.9202961672473868
Zweck only;SGD hinge balanced;Feature-Ablation;1;1.903022527694702;0.2704992294311523;;;;;;0.7372900648177285;0.1821657344122473;;0.8973690747441686;0.088250226204667;;0.9169217022438164;0.2262388973768765;;0.888704994192799;0.0953252032520324;7a6b71ee5cd8;0.5551243304054811;0.8091188485395016;0.69068280486694;0.7933797909407666
Zweck only;SGD hinge balanced;Feature-Ablation;2;1.883256435394287;0.2632932662963867;;;;;;0.731787203332653;0.1516763048813691;;0.8993642449275036;0.085903419539251;;0.9197120054884058;0.1951052058992733;;0.8876016260162601;0.096835075493612;7a6b71ee5cd8;0.5801108984512838;0.8134608253882525;0.7246067995891324;0.7907665505226481
Zweck only;SGD hinge balanced;Feature-Ablation;3;1.8935775756835935;0.2609171867370605;;;;;;0.7421792304715098;0.173150786384803;;0.9003908143090745;0.089002292384744;;0.9155082251965532;0.2171876111947673;;0.8935249709639953;0.0961382113821137;7a6b71ee5cd8;0.5690284440867067;0.8113885219243305;0.6983206140017857;0.7973867595818815
Zweck only;SGD hinge balanced;Feature-Ablation;4;1.9480173587799072;0.26021409034729;;;;;;0.7728105063468375;0.1956092457694157;;0.8972623362369815;0.0868679950249899;;0.923960463820312;0.2214583646964707;;0.890418118466899;0.0949477351916376;7a6b71ee5cd8;0.5772012605774217;0.8103943412119915;0.7025020991238413;0.7954703832752613
Zweck + geber text;SGD hinge balanced;Repräsentationsexperiment;1;2.9249048233032227;0.5570745468139648;;;;;;0.8821128773152649;0.1269913308083756;;0.9489883117359524;0.0524214215237237;;0.9440736359666462;0.1548850038815539;;0.947822299651568;0.0527003484320557;0bdc9d6159eb;0.7551215465068892;0.8965668902122288;0.7891886320850923;0.8951219512195122
Zweck + geber text;SGD hinge balanced;Repräsentationsexperiment;2;2.499063491821289;0.5088357925415039;;;;;;0.857002160740854;0.1305305921327191;;0.9469138353715024;0.0528202528933086;;0.9315405958090296;0.1448737938314439;;0.9448315911730546;0.054849012775842;0bdc9d6159eb;0.7264715686081349;0.8940935824781938;0.7866668019775858;0.8899825783972125
