CV_Folds;fit_time_total_seconds;fit_time_mean_seconds;fit_time_std_seconds;score_time_mean_seconds;macro_f1_mean;macro_f1_std;weighted_f1_mean;weighted_f1_std;balanced_accuracy_mean;balanced_accuracy_std;accuracy_mean;accuracy_std;Ablation;Basis_Modell;Textspalten;Kategoriale_Spalten;Numerische_Spalten;Experimenttyp;Beschreibung;test_macro_f1_mean;test_macro_f1_std;train_macro_f1_mean;train_macro_f1_std;generalization_gap_macro_f1;test_weighted_f1_mean;test_weighted_f1_std;train_weighted_f1_mean;train_weighted_f1_std;generalization_gap_weighted_f1;test_balanced_accuracy_mean;test_balanced_accuracy_std;train_balanced_accuracy_mean;train_balanced_accuracy_std;generalization_gap_balanced_accuracy;test_accuracy_mean;test_accuracy_std;train_accuracy_mean;train_accuracy_std;generalization_gap_accuracy;fit_time_mean;fit_time_std;score_time_mean;score_time_std;model_signature;val_macro_f1_mean;val_macro_f1_std;val_weighted_f1_mean;val_weighted_f1_std;val_balanced_accuracy_mean;val_balanced_accuracy_std;val_accuracy_mean;val_accuracy_std;model_path
4;22.14;5.54;0.17;0.69;0.815;0.0088;0.9222;0.0009;0.8508;0.0102;0.9208;0.0009;Text + categorical;SGD hinge balanced;name_standardised, geber_standardised, anschrift_standardised, zweck_standardised;art_standardised, jahr;;Feature-Ablation;Textspalten plus art und jahr;;;0.9174;0.0104;0.1024;;;0.9657;0.0016;0.0435;;;0.9711;0.0055;0.1203;;;0.965;0.0018;0.0442;5.54;0.17;0.69;0.02;8a582e76caa9;0.815;0.0088;0.9222;0.0009;0.8508;0.0102;0.9208;0.0009;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_text_categorical_8a582e76caa9.joblib
4;24.07;6.02;0.19;0.72;0.8064;0.0326;0.9198;0.0036;0.8382;0.0215;0.9179;0.005;Full model;SGD hinge balanced;name_standardised, geber_standardised, anschrift_standardised, zweck_standardised;art_standardised, jahr;betrag;Feature-Ablation;Alle vorgesehenen Merkmalsgruppen;;;0.9119;0.0221;0.1055;;;0.9639;0.0038;0.0441;;;0.9607;0.0166;0.1225;;;0.9627;0.0052;0.0448;6.02;0.19;0.72;0.08;3469d860060e;0.8064;0.0326;0.9198;0.0036;0.8382;0.0215;0.9179;0.005;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_full_model_3469d860060e.joblib
4;19.49;4.87;0.12;0.68;0.7988;0.0092;0.9234;0.0018;0.8544;0.0212;0.9218;0.002;Text only;SGD hinge balanced;name_standardised, geber_standardised, anschrift_standardised, zweck_standardised;;;Feature-Ablation;Nur Textspalten ohne strukturierte Zusatzmerkmale;;;0.9068;0.0136;0.108;;;0.968;0.0004;0.0446;;;0.9728;0.0009;0.1184;;;0.9672;0.0004;0.0454;4.87;0.12;0.68;0.03;7bad6a6c83fc;0.7988;0.0092;0.9234;0.0018;0.8544;0.0212;0.9218;0.002;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_text_only_7bad6a6c83fc.joblib
4;22.32;5.58;0.11;0.66;0.7986;0.0251;0.9198;0.0027;0.8371;0.017;0.9177;0.0032;Ohne Anschrift;SGD hinge balanced;name_standardised, geber_standardised, zweck_standardised;art_standardised, jahr;betrag;Feature-Ablation;Alle Merkmale außer Anschrift;;;0.9028;0.0255;0.1042;;;0.9612;0.0019;0.0414;;;0.9576;0.0147;0.1205;;;0.96;0.0023;0.0423;5.58;0.11;0.66;0.15;65043bdf94a7;0.7986;0.0251;0.9198;0.0027;0.8371;0.017;0.9177;0.0032;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_ohne_anschrift_65043bdf94a7.joblib
4;22.74;5.69;0.34;0.62;0.7974;0.0247;0.9185;0.0044;0.8321;0.0194;0.9156;0.0062;Full with geber category;SGD hinge balanced;name_standardised, anschrift_standardised, zweck_standardised;geber_standardised, art_standardised, jahr;betrag;Repräsentationsexperiment;Geber als Kategorie statt als Text;;;0.8993;0.0265;0.1019;;;0.9613;0.0055;0.0428;;;0.957;0.0165;0.1249;;;0.9593;0.0073;0.0437;5.69;0.34;0.62;0.02;603e8d774496;0.7974;0.0247;0.9185;0.0044;0.8321;0.0194;0.9156;0.0062;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_full_with_geber_category_603e8d774496.joblib
4;23.79;5.95;0.15;0.75;0.7854;0.0115;0.9203;0.0021;0.8412;0.0199;0.9187;0.0022;Full with geber and art as text;SGD hinge balanced;name_standardised, geber_standardised, art_standardised, anschrift_standardised, zweck_standardised;jahr;betrag;Repräsentationsexperiment;Geber und art beide als Text;;;0.8964;0.0055;0.111;;;0.9649;0.001;0.0446;;;0.9619;0.007;0.1207;;;0.9639;0.0011;0.0452;5.95;0.15;0.75;0.08;d5d8e9fed161;0.7854;0.0115;0.9203;0.0021;0.8412;0.0199;0.9187;0.0022;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_full_with_geber_and_art_as_text_d5d8e9fed161.joblib
4;20.44;5.11;0.2;0.61;0.7766;0.0287;0.912;0.0061;0.821;0.0212;0.909;0.0086;Ohne Name;SGD hinge balanced;geber_standardised, anschrift_standardised, zweck_standardised;art_standardised, jahr;betrag;Feature-Ablation;Alle Merkmale außer Name;;;0.8906;0.0165;0.114;;;0.9576;0.0062;0.0456;;;0.95;0.0161;0.129;;;0.9553;0.0084;0.0463;5.11;0.2;0.61;0.05;79ef1f8fbb7a;0.7766;0.0287;0.912;0.0061;0.821;0.0212;0.909;0.0086;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_ohne_name_79ef1f8fbb7a.joblib
4;16.6;4.15;0.6;0.57;0.7508;0.0163;0.8903;0.0043;0.8059;0.0117;0.8872;0.0049;Ohne Empfängeridentität;SGD hinge balanced;geber_standardised, zweck_standardised;art_standardised, jahr;betrag;Feature-Ablation;Ohne Name und Anschrift;;;0.8619;0.0101;0.1111;;;0.9397;0.0034;0.0494;;;0.9356;0.0041;0.1297;;;0.9379;0.0035;0.0507;4.15;0.6;0.57;0.16;ac655b64d5d3;0.7508;0.0163;0.8903;0.0043;0.8059;0.0117;0.8872;0.0049;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_ohne_empfängeridentität_ac655b64d5d3.joblib
4;8.59;2.15;0.23;0.26;0.7496;0.0132;0.8959;0.0016;0.8126;0.0121;0.8935;0.0022;Zweck + geber category;SGD hinge balanced;zweck_standardised;geber_standardised;;Repräsentationsexperiment;Förderzweck plus Geber als Kategorie;;;0.8619;0.008;0.1123;;;0.9479;0.001;0.052;;;0.9416;0.0049;0.129;;;0.9466;0.0009;0.0531;2.15;0.23;0.26;0.02;d2376ac49728;0.7496;0.0132;0.8959;0.0016;0.8126;0.0121;0.8935;0.0022;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_zweck_geber_category_d2376ac49728.joblib
4;12.36;3.09;0.44;0.51;0.7422;0.011;0.8957;0.001;0.8063;0.0195;0.8928;0.002;Zweck + geber text;SGD hinge balanced;zweck_standardised, geber_standardised;;;Repräsentationsexperiment;Förderzweck plus Geber als Text;;;0.8587;0.0182;0.1165;;;0.9478;0.0009;0.0521;;;0.9356;0.0062;0.1293;;;0.9462;0.0011;0.0534;3.09;0.44;0.51;0.04;0bdc9d6159eb;0.7422;0.011;0.8957;0.001;0.8063;0.0195;0.8928;0.002;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_zweck_geber_text_0bdc9d6159eb.joblib
4;7.63;1.91;0.02;0.26;0.5704;0.0097;0.8111;0.0016;0.704;0.0126;0.7943;0.0025;Zweck only;SGD hinge balanced;zweck_standardised;;;Feature-Ablation;Nur inhaltlicher Förderzweck;;;0.746;0.0159;0.1756;;;0.8986;0.0013;0.0875;;;0.919;0.0032;0.215;;;0.8901;0.0022;0.0958;1.91;0.02;0.26;0.0;7a6b71ee5cd8;0.5704;0.0097;0.8111;0.0016;0.704;0.0126;0.7943;0.0025;d:\toydev\schwarz-test\models\ablation\sgd_hinge_balanced_zweck_only_7a6b71ee5cd8.joblib
