model;model_signature;fold;fit_time_seconds;score_time_seconds;val_macro_f1;train_macro_f1;generalization_gap_macro_f1;val_weighted_f1;train_weighted_f1;generalization_gap_weighted_f1;val_balanced_accuracy;train_balanced_accuracy;generalization_gap_balanced_accuracy;val_accuracy;train_accuracy;generalization_gap_accuracy
Dummy Classifier;60e1d6e221f7;1;0.025068044662475586;0.1250934600830078;0.010314386500836424;0.01031691677373997;2.5302729035458355e-06;0.06523579922062119;0.06527097450629078;3.517528566959749e-05;0.03125;0.03125;0.0;0.19764808362369338;0.1977061556329849;5.807200929153211e-05
Dummy Classifier;60e1d6e221f7;2;0.019069433212280273;0.1355726718902588;0.010314386500836424;0.01031691677373997;2.5302729035458355e-06;0.06523579922062119;0.06527097450629078;3.517528566959749e-05;0.03125;0.03125;0.0;0.19764808362369338;0.1977061556329849;5.807200929153211e-05
Dummy Classifier;60e1d6e221f7;3;0.020029783248901367;0.10003471374511719;0.010318181818181818;0.010315651667959658;-2.530150222159952e-06;0.06528856509344313;0.0652533858819692;-3.517921147393188e-05;0.03125;0.03125;0.0;0.19773519163763068;0.19767711962833914;-5.807200929153211e-05
Dummy Classifier;60e1d6e221f7;4;0.02504253387451172;0.09978413581848145;0.010318181818181818;0.010315651667959658;-2.530150222159952e-06;0.06528856509344313;0.0652533858819692;-3.517921147393188e-05;0.03125;0.03125;0.0;0.19773519163763068;0.19767711962833914;-5.807200929153211e-05
Linear SVC unweighted;782ddb7fe4fe;1;19.260403394699097;0.676821231842041;0.7960073587225984;0.9428406064753649;0.14683324775276652;0.9246740470082949;0.9706253024384046;0.045951255430109694;0.7627648072543378;0.9211908403601532;0.15842603310581538;0.9267421602787457;0.9709639953542393;0.0442218350754936
Linear SVC unweighted;782ddb7fe4fe;2;22.16026496887207;0.8614106178283691;0.820827273719742;0.9404822286092489;0.11965495488950695;0.9249722409780902;0.9710825785867014;0.046110337608611274;0.7949186624144389;0.9160861833537368;0.12116752093929795;0.9265679442508711;0.9714576074332172;0.04488966318234611
Linear SVC unweighted;782ddb7fe4fe;3;26.21812391281128;0.698096752166748;0.8271428431813923;0.9405842298377218;0.11344138665632952;0.9233408844265986;0.9711989708541571;0.04785808642755851;0.7935419424702821;0.9158896308806628;0.12234768841038068;0.9247386759581881;0.9715156794425087;0.04677700348432057
Linear SVC unweighted;782ddb7fe4fe;4;29.67500138282776;1.1248714923858643;0.8491328667456846;0.9437946061052211;0.09466173935953659;0.9275116221287151;0.971481602658038;0.04396998052932288;0.8267786491901661;0.9214327710603161;0.09465412187014999;0.9286585365853659;0.9717479674796748;0.043089430894308944
Linear SVC balanced;90d9bfe9ec68;1;36.42178750038147;0.7320711612701416;0.8100564506037655;0.92737022377792;0.11731377317415448;0.9142650223316833;0.9536246609754477;0.03935963864376446;0.819915735195532;0.9643614940115361;0.1444457588160042;0.9134146341463415;0.9529907084785133;0.03957607433217181
Linear SVC balanced;90d9bfe9ec68;2;38.06171631813049;0.8392963409423828;0.8131736102236892;0.9230284313274164;0.10985482110372724;0.9139733417248685;0.9531879801976415;0.039214638472772956;0.8525575700008553;0.9651885706479888;0.1126310006471335;0.9122822299651568;0.9524680603948896;0.04018583042973278
Linear SVC balanced;90d9bfe9ec68;3;20.76086688041687;0.8575425148010254;0.808246932756701;0.9338235869186807;0.12557665416197972;0.9121944623197971;0.9538417045035308;0.041647242183733724;0.8426962141869654;0.9654563465058486;0.12276013231888316;0.9108885017421603;0.9532520325203252;0.042363530778164904
Linear SVC balanced;90d9bfe9ec68;4;18.9206702709198;0.6968019008636475;0.8266690995168884;0.9224289049986202;0.0957598054817318;0.9145552397547619;0.9536095199719871;0.039054280217225124;0.8564327914057428;0.9637930383065695;0.10736024690082668;0.9127177700348432;0.9529616724738676;0.040243902439024426
SGD hinge balanced;aab96a884cf6;1;3.420468807220459;0.8833377361297607;0.834213213661926;0.931856286197519;0.09764307253559301;0.924223427951716;0.9660259735049422;0.04180254555322627;0.8418913292441441;0.9724220976654177;0.13053076842127354;0.9231707317073171;0.965534262485482;0.042363530778164904
SGD hinge balanced;aab96a884cf6;2;3.0014917850494385;0.7183380126953125;0.7512899597787733;0.874518156680013;0.12322819690123965;0.9142944780436799;0.9574743639175676;0.04317988587388766;0.8022352917805189;0.9321499870069923;0.12991469522647336;0.9097560975609756;0.9537746806039489;0.044018583042973236
SGD hinge balanced;aab96a884cf6;3;3.2775416374206543;0.6336183547973633;0.8256646034885398;0.919986794971892;0.09432219148335219;0.9193300843657493;0.9668136414016675;0.04748355703591822;0.8504935240715124;0.96748454502412;0.1169910209526076;0.9183797909407666;0.9664053426248548;0.048025551684088175
SGD hinge balanced;aab96a884cf6;4;2.987370729446411;0.6855566501617432;0.8143383850187964;0.921429649221704;0.1070912642029076;0.921544404849033;0.9653902347802171;0.04384582993118413;0.8580933338124663;0.9707203426420197;0.11262700882955334;0.9202961672473867;0.9649825783972126;0.044686411149825855
SGD log loss balanced;b21846c9b6e5;1;3.4750173091888428;0.7265918254852295;0.7917027906402921;0.8813580952395762;0.08965530459928406;0.8848761630223918;0.9153098356973906;0.030433672674998746;0.8024359530486774;0.9342020522459166;0.13176609919723914;0.8822299651567944;0.9126306620209059;0.03040069686411151
SGD log loss balanced;b21846c9b6e5;2;3.365600109100342;0.677478551864624;0.7679329297586117;0.8636497930841407;0.09571686332552898;0.878022449068842;0.9097806935412779;0.031758244472435915;0.8206715041534598;0.9240707011004572;0.1033991969469974;0.872822299651568;0.9060975609756098;0.033275261324041794
SGD log loss balanced;b21846c9b6e5;3;3.738185405731201;0.6243910789489746;0.7699364553321347;0.8674017902864976;0.09746533495436283;0.879643964862471;0.9129548384089307;0.033310873546459674;0.8124349792283516;0.9162172571108816;0.10378227788253003;0.8751742160278746;0.9099303135888501;0.03475609756097553
SGD log loss balanced;b21846c9b6e5;4;3.4278769493103027;0.6625337600708008;0.7865031386894125;0.8760128771808765;0.08950973849146404;0.8884990938681941;0.9186056474972079;0.03010655362901371;0.829058016616144;0.9386324847265286;0.10957446811038463;0.8853658536585366;0.9164924506387921;0.03112659698025555
Logistic Regression balanced;5df19ae6c78e;1;14.040343284606934;0.7270011901855469;0.6463314936331593;0.6954628893979815;0.04913139576482217;0.7558275353363785;0.7658494570803415;0.010021921743962992;0.7556974174687083;0.8360396245349477;0.0803422070662394;0.7466898954703832;0.7572299651567944;0.010540069686411191
Logistic Regression balanced;5df19ae6c78e;2;12.044702768325806;0.6281371116638184;0.6013233193931307;0.6467949078241562;0.0454715884310255;0.7305927810968853;0.743498915064531;0.012906133967645728;0.745429889650246;0.8167845119849022;0.07135462233465617;0.7221254355400697;0.7371080139372822;0.01498257839721251
Logistic Regression balanced;5df19ae6c78e;3;15.44405722618103;0.6723613739013672;0.6101608469961488;0.6670906734201425;0.05692982642399369;0.7296401395498833;0.7458764312355484;0.016236291685665094;0.7397734763552225;0.8202657456430287;0.08049226928780617;0.7212543554006968;0.7374854819976772;0.01623112659698034
Logistic Regression balanced;5df19ae6c78e;4;12.762123823165894;0.6162190437316895;0.5961149620029995;0.630232451430434;0.03411748942743453;0.7134907438829301;0.722336632661937;0.008845888779006938;0.7473653017916481;0.8047036447857339;0.0573383429940858;0.704006968641115;0.7144308943089431;0.010423925667828127
Complement Naive Bayes text only;37facd42fb0e;1;3.3247454166412354;0.6171207427978516;0.6249155410737276;0.7022286935978428;0.07731315252411519;0.8461128784692761;0.8880424698760794;0.0419295914068033;0.5836070067275676;0.653770799977607;0.07016379325003941;0.8568815331010453;0.8941927990708478;0.0373112659698025
Complement Naive Bayes text only;37facd42fb0e;2;3.4355227947235107;0.6010024547576904;0.6103310563588875;0.6932303450459;0.08289928868701246;0.8484329028234305;0.8866001607078758;0.038167257884445305;0.5730015364113618;0.6468720913437239;0.07387055493236216;0.85897212543554;0.8929732868757259;0.034001161440185834
Complement Naive Bayes text only;37facd42fb0e;3;3.216390609741211;0.7128756046295166;0.6244860822256022;0.7199030993162023;0.09541701709060013;0.8462037143758689;0.8873346325976003;0.041130918221731316;0.5879906772781993;0.6667201583388653;0.07872948106066602;0.8560104529616724;0.8938443670150987;0.03783391405342629
