anschrift_vor_google;anschrift_google;google_status;partial_match
gesslerstrasse 11, 10829 berlin;Geßlerstraße 11, 10829 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
pirolstrasse 82, 12683 berlin;Pirolstraße 82, 12683 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
hansastrasse 190, 13088 berlin;Hansastraße 190, 13088 Berlin, Deutschland;OK;False
am oder-spree-kanal 23d, 12527 berlin;Am Oder-Spree-Kanal 23D, 12527 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
possweg 45, 14163 berlin;Poßweg 45, 14163 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
possweg 45 c/o nkmg, 14163 berlin;Poßweg 45, 14163 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
schönwalder allee 26/45, 13587 berlin;Schönwalder Allee 26/45, 13587 Berlin, Deutschland;OK;False
hermannstrasse 29, 14163 berlin;Hermannstraße 29, 14163 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
sokratesweg 85, 10318 berlin;Sokratesweg 85, 10318 Berlin-Bezirk Lichtenberg, Deutschland;OK;False
reinhold-würth-strasse 12-17, 74653 künzelau;Reinhold-Würth-Straße 12-17, 74653 Künzelsau-Gaisbach, Deutschland;OK;False
askanierring 155-156, 13585 berlin;Askanierring 155-156, 13585 Berlin-Bezirk Spandau, Deutschland;OK;False
kollwitzstrasse 53, 10405 berlin;Kollwitzstraße 53, 10405 Berlin-Bezirk Pankow, Deutschland;OK;False
an der kapelle 4, 50858 köln;An d. Kapelle 4, 50858 Köln-Lindenthal, Deutschland;OK;False
"""ausnahmetatbestand nach nr. 1.5.2 av zu § 44 lho"", ""ausn ""ausnahmetatbestand nach nr. 1.5.2 av zu § 44 lho""";Deutschland;OK;True
südwestkorso 9, 12161 berlin;Südwestkorso 9, 12161 Berlin, Deutschland;OK;False
lorenzweg 5, 12099 berlin;Lorenzweg 5, 12099 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
