Modell;trial_number;objective_value;epoch;lr;wordNgrams;dim;minn;loss;maxn;CV_Folds;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;fit_time_total_seconds;macro_f1_mean;macro_f1_std;val_accuracy_mean;val_accuracy_std;val_balanced_accuracy_mean;val_balanced_accuracy_std;val_macro_f1_mean;val_macro_f1_std;val_weighted_f1_mean;val_weighted_f1_std;validation_strategy;weighted_f1_mean;weighted_f1_std
fastText;15;0.8247;18;0.7093168112303571;1;100;0;softmax;;4;0.9338;0.0027;0.8063;0.0216;42.34;0.8247;0.0151;0.9338;0.0027;0.8063;0.0216;0.8247;0.0151;0.9332;0.0028;shared_stratified_4_fold_cv;0.9332;0.0028
fastText;23;0.8224;16;0.8662937044247379;1;100;0;softmax;;4;0.9338;0.003;0.8049;0.0237;34.39;0.8224;0.0182;0.9338;0.003;0.8049;0.0237;0.8224;0.0182;0.9333;0.0032;shared_stratified_4_fold_cv;0.9333;0.0032
fastText;21;0.8207;21;0.760544320777943;2;100;0;softmax;;4;0.9357;0.0032;0.8021;0.0294;52.53;0.8207;0.0247;0.9357;0.0032;0.8021;0.0294;0.8207;0.0247;0.9351;0.0033;shared_stratified_4_fold_cv;0.9351;0.0033
fastText;16;0.8152;18;0.8765268465058025;1;100;0;softmax;;4;0.9334;0.003;0.8014;0.0258;42.33;0.8152;0.0185;0.9334;0.003;0.8014;0.0258;0.8152;0.0185;0.9327;0.0031;shared_stratified_4_fold_cv;0.9327;0.0031
fastText;22;0.7962;20;0.7901877101522478;3;100;0;softmax;;4;0.9353;0.0025;0.7791;0.0183;54.99;0.7962;0.0135;0.9353;0.0025;0.7791;0.0183;0.7962;0.0135;0.9347;0.0026;shared_stratified_4_fold_cv;0.9347;0.0026
fastText;19;0.7948;19;0.6588317398804256;2;100;0;softmax;;4;0.9358;0.003;0.7773;0.0221;49.21;0.7948;0.0168;0.9358;0.003;0.7773;0.0221;0.7948;0.0168;0.9352;0.0031;shared_stratified_4_fold_cv;0.9352;0.0031
fastText;24;0.789;15;0.473982539430392;1;100;0;softmax;;4;0.9326;0.0033;0.7709;0.0203;32.31;0.789;0.0154;0.9326;0.0033;0.7709;0.0203;0.789;0.0154;0.932;0.0035;shared_stratified_4_fold_cv;0.932;0.0035
fastText;14;0.7861;19;0.3006950167565481;1;100;0;softmax;;4;0.9321;0.0028;0.7666;0.0158;44.68;0.7861;0.0133;0.9321;0.0028;0.7666;0.0158;0.7861;0.0133;0.9314;0.0029;shared_stratified_4_fold_cv;0.9314;0.0029
fastText;17;0.7859;14;0.9387232351899375;3;100;0;softmax;;4;0.9352;0.0027;0.7658;0.0142;42.7;0.7859;0.0141;0.9352;0.0027;0.7658;0.0142;0.7859;0.0141;0.9346;0.0028;shared_stratified_4_fold_cv;0.9346;0.0028
fastText;12;0.7837;30;0.18274610752840426;1;100;0;softmax;;4;0.932;0.0032;0.7638;0.0157;66.4;0.7837;0.0123;0.932;0.0032;0.7638;0.0157;0.7837;0.0123;0.9313;0.0034;shared_stratified_4_fold_cv;0.9313;0.0034
