Modell;trial_number;objective_value;C;max_iter;tol;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;fit_time_mean_seconds;fit_time_total_seconds;generalization_gap_accuracy;generalization_gap_balanced_accuracy;generalization_gap_macro_f1;generalization_gap_weighted_f1;macro_f1_mean;macro_f1_std;model_name;score_time_mean_seconds;train_accuracy_mean;train_accuracy_std;train_balanced_accuracy_mean;train_balanced_accuracy_std;train_macro_f1_mean;train_macro_f1_std;train_weighted_f1_mean;train_weighted_f1_std;val_accuracy_mean;val_accuracy_std;val_balanced_accuracy_mean;val_balanced_accuracy_std;val_macro_f1_mean;val_macro_f1_std;val_weighted_f1_mean;val_weighted_f1_std;weighted_f1_mean;weighted_f1_std
Linear SVC balanced;15;0.8516;0.2992966511193877;10000;0.0001;0.9391;0.0017;0.8593;0.0123;4.94;19.74;0.0487;0.1325;0.1295;0.0484;0.8516;0.0102;Linear SVC balanced;0.9;0.9878;0.0003;0.9918;0.0003;0.9811;0.0009;0.9879;0.0003;0.9391;0.0017;0.8593;0.0123;0.8516;0.0102;0.9395;0.0015;0.9395;0.0015
Linear SVC balanced;19;0.8516;0.29896674857506617;10000;0.0001;0.9391;0.0016;0.8593;0.0123;4.03;16.14;0.0487;0.1325;0.1295;0.0484;0.8516;0.0102;Linear SVC balanced;0.64;0.9878;0.0003;0.9918;0.0003;0.9811;0.0009;0.9879;0.0003;0.9391;0.0016;0.8593;0.0123;0.8516;0.0102;0.9395;0.0015;0.9395;0.0015
Linear SVC balanced;11;0.8516;0.2939418516629263;10000;0.001;0.939;0.0016;0.8594;0.0122;4.16;16.65;0.0486;0.1323;0.1291;0.0482;0.8516;0.0099;Linear SVC balanced;0.78;0.9876;0.0003;0.9917;0.0003;0.9807;0.0008;0.9877;0.0003;0.939;0.0016;0.8594;0.0122;0.8516;0.0099;0.9395;0.0014;0.9395;0.0014
Linear SVC balanced;10;0.851;0.28453065570421604;10000;0.001;0.9387;0.0015;0.8594;0.0123;3.73;14.91;0.0486;0.1321;0.1294;0.0482;0.851;0.0095;Linear SVC balanced;0.72;0.9873;0.0003;0.9915;0.0003;0.9804;0.0009;0.9874;0.0002;0.9387;0.0015;0.8594;0.0123;0.851;0.0095;0.9392;0.0013;0.9392;0.0013
Linear SVC balanced;12;0.851;0.28126326256010575;10000;0.001;0.9387;0.0014;0.8594;0.0123;4.13;16.52;0.0485;0.1321;0.1293;0.0482;0.851;0.0095;Linear SVC balanced;0.8;0.9872;0.0003;0.9915;0.0003;0.9803;0.0009;0.9873;0.0002;0.9387;0.0014;0.8594;0.0123;0.851;0.0095;0.9391;0.0012;0.9391;0.0012
Linear SVC balanced;14;0.8479;0.1663764123101549;10000;0.001;0.9337;0.0008;0.8587;0.0102;3.63;14.52;0.0473;0.1284;0.1226;0.0468;0.8479;0.0061;Linear SVC balanced;0.71;0.981;0.0006;0.9871;0.001;0.9705;0.0009;0.9811;0.0006;0.9337;0.0008;0.8587;0.0102;0.8479;0.0061;0.9343;0.0006;0.9343;0.0006
Linear SVC balanced;5;0.8477;0.211417353855613;10000;0.001;0.9361;0.0008;0.8575;0.0128;3.99;15.94;0.0479;0.1316;0.1288;0.0474;0.8477;0.0098;Linear SVC balanced;0.74;0.984;0.0004;0.9891;0.0008;0.9765;0.0011;0.9841;0.0004;0.9361;0.0008;0.8575;0.0128;0.8477;0.0098;0.9367;0.0006;0.9367;0.0006
Linear SVC balanced;3;0.8462;0.1976681084946931;30000;0.0001;0.9355;0.001;0.8571;0.0123;4.17;16.69;0.0478;0.1315;0.1297;0.0474;0.8462;0.0089;Linear SVC balanced;0.78;0.9833;0.0003;0.9886;0.0008;0.9759;0.001;0.9835;0.0003;0.9355;0.001;0.8571;0.0123;0.8462;0.0089;0.9361;0.0008;0.9361;0.0008
Linear SVC balanced;16;0.8462;0.15080273100581001;20000;0.0001;0.9322;0.001;0.8576;0.01;4.26;17.04;0.0474;0.1285;0.1212;0.0469;0.8462;0.0057;Linear SVC balanced;0.76;0.9796;0.0008;0.9861;0.001;0.9674;0.0011;0.9797;0.0007;0.9322;0.001;0.8576;0.01;0.8462;0.0057;0.9328;0.0007;0.9328;0.0007
Linear SVC balanced;18;0.8446;0.13862002312424448;10000;0.0001;0.9311;0.0009;0.8572;0.0099;3.72;14.86;0.0472;0.128;0.121;0.0468;0.8446;0.0054;Linear SVC balanced;0.66;0.9783;0.0006;0.9852;0.0008;0.9656;0.0011;0.9785;0.0006;0.9311;0.0009;0.8572;0.0099;0.8446;0.0054;0.9317;0.0007;0.9317;0.0007
