Modell;trial_number;objective_value;C;max_iter;tol;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;fit_time_mean_seconds;fit_time_total_seconds;generalization_gap_accuracy;generalization_gap_balanced_accuracy;generalization_gap_macro_f1;generalization_gap_weighted_f1;macro_f1_mean;macro_f1_std;model_name;score_time_mean_seconds;train_accuracy_mean;train_accuracy_std;train_balanced_accuracy_mean;train_balanced_accuracy_std;train_macro_f1_mean;train_macro_f1_std;train_weighted_f1_mean;train_weighted_f1_std;val_accuracy_mean;val_accuracy_std;val_balanced_accuracy_mean;val_balanced_accuracy_std;val_macro_f1_mean;val_macro_f1_std;val_weighted_f1_mean;val_weighted_f1_std;weighted_f1_mean;weighted_f1_std
Linear SVC unweighted;6;0.8575;0.42580847142947004;30000;0.0005;0.9425;0.0011;0.8415;0.0211;4.03;16.13;0.0506;0.1414;0.1289;0.0513;0.8575;0.0142;Linear SVC unweighted;0.76;0.9931;0.0002;0.9829;0.0012;0.9864;0.0007;0.9931;0.0002;0.9425;0.0011;0.8415;0.0211;0.8575;0.0142;0.9418;0.0011;0.9418;0.0011
Linear SVC unweighted;12;0.8571;0.4893749635100244;30000;0.001;0.9431;0.0009;0.8415;0.0191;4.2;16.79;0.0505;0.1427;0.1301;0.0511;0.8571;0.0134;Linear SVC unweighted;0.73;0.9936;0.0002;0.9842;0.0011;0.9872;0.0005;0.9936;0.0002;0.9431;0.0009;0.8415;0.0191;0.8571;0.0134;0.9425;0.0008;0.9425;0.0008
Linear SVC unweighted;11;0.8563;0.47570006693007444;30000;0.001;0.9429;0.0007;0.8405;0.0191;3.8;15.19;0.0506;0.1433;0.1307;0.0513;0.8563;0.0133;Linear SVC unweighted;0.79;0.9935;0.0002;0.9838;0.0013;0.987;0.0007;0.9935;0.0002;0.9429;0.0007;0.8405;0.0191;0.8563;0.0133;0.9422;0.0007;0.9422;0.0007
Linear SVC unweighted;13;0.8563;0.4758516979436053;30000;0.0005;0.9429;0.0007;0.8405;0.0191;4.53;18.1;0.0506;0.1433;0.1307;0.0513;0.8563;0.0133;Linear SVC unweighted;0.85;0.9935;0.0002;0.9838;0.0013;0.987;0.0007;0.9935;0.0002;0.9429;0.0007;0.8405;0.0191;0.8563;0.0133;0.9422;0.0007;0.9422;0.0007
Linear SVC unweighted;18;0.8563;0.47511464139165854;30000;0.001;0.9429;0.0007;0.8405;0.0191;5.21;20.84;0.0506;0.1433;0.1307;0.0513;0.8563;0.0133;Linear SVC unweighted;1.05;0.9935;0.0002;0.9838;0.0013;0.987;0.0007;0.9935;0.0002;0.9429;0.0007;0.8405;0.0191;0.8563;0.0133;0.9422;0.0007;0.9422;0.0007
Linear SVC unweighted;17;0.855;0.37241679272271055;30000;0.0005;0.9421;0.0009;0.8399;0.021;4.83;19.33;0.0503;0.1414;0.1304;0.051;0.855;0.0165;Linear SVC unweighted;1.01;0.9924;0.0002;0.9813;0.0012;0.9854;0.0007;0.9924;0.0002;0.9421;0.0009;0.8399;0.021;0.855;0.0165;0.9414;0.0008;0.9414;0.0008
Linear SVC unweighted;5;0.8536;0.3379121764859049;20000;0.001;0.9416;0.0008;0.8379;0.0208;4.0;15.98;0.0501;0.1418;0.1307;0.0509;0.8536;0.0164;Linear SVC unweighted;0.81;0.9917;0.0001;0.9797;0.0013;0.9843;0.0008;0.9917;0.0001;0.9416;0.0008;0.8379;0.0208;0.8536;0.0164;0.9408;0.0008;0.9408;0.0008
Linear SVC unweighted;3;0.852;0.29142186287192495;20000;0.0005;0.9406;0.0008;0.8346;0.0189;4.15;16.62;0.0497;0.1411;0.1298;0.0505;0.852;0.0159;Linear SVC unweighted;0.83;0.9903;0.0002;0.9757;0.0018;0.9818;0.0009;0.9903;0.0002;0.9406;0.0008;0.8346;0.0189;0.852;0.0159;0.9398;0.0007;0.9398;0.0007
Linear SVC unweighted;4;0.852;0.2908646874193105;10000;0.001;0.9406;0.0008;0.8346;0.0189;4.06;16.24;0.0497;0.1411;0.1297;0.0505;0.852;0.0159;Linear SVC unweighted;0.86;0.9903;0.0002;0.9757;0.0018;0.9817;0.0009;0.9903;0.0002;0.9406;0.0008;0.8346;0.0189;0.852;0.0159;0.9398;0.0007;0.9398;0.0007
Linear SVC unweighted;0;0.849;0.25508534886550255;20000;0.0001;0.9393;0.0011;0.831;0.0191;5.36;21.45;0.0495;0.1394;0.1294;0.0504;0.849;0.0164;Linear SVC unweighted;1.28;0.9888;0.0003;0.9704;0.0022;0.9784;0.0013;0.9888;0.0003;0.9393;0.0011;0.831;0.0191;0.849;0.0164;0.9384;0.0011;0.9384;0.0011
Linear SVC unweighted;15;0.8472;0.21519968660152836;30000;0.001;0.9377;0.0008;0.8267;0.0195;3.82;15.27;0.0494;0.1395;0.1283;0.0503;0.8472;0.0173;Linear SVC unweighted;0.75;0.9871;0.0002;0.9662;0.0022;0.9755;0.0012;0.9871;0.0002;0.9377;0.0008;0.8267;0.0195;0.8472;0.0173;0.9368;0.0008;0.9368;0.0008
Linear SVC unweighted;14;0.8462;0.17279236925833838;30000;0.0001;0.9362;0.001;0.8231;0.0184;4.78;19.12;0.048;0.1329;0.1224;0.0489;0.8462;0.0146;Linear SVC unweighted;0.89;0.9842;0.0002;0.956;0.0022;0.9686;0.0014;0.9841;0.0002;0.9362;0.001;0.8231;0.0184;0.8462;0.0146;0.9352;0.0011;0.9352;0.0011
Linear SVC unweighted;10;0.845;0.16059948603255692;30000;0.0005;0.9354;0.001;0.8213;0.0188;3.93;15.71;0.0476;0.1319;0.1216;0.0486;0.845;0.0146;Linear SVC unweighted;0.92;0.983;0.0003;0.9532;0.0026;0.9666;0.0016;0.9829;0.0003;0.9354;0.001;0.8213;0.0188;0.845;0.0146;0.9343;0.0012;0.9343;0.0012
Linear SVC unweighted;19;0.8412;0.13959746905483178;30000;0.0001;0.9333;0.0012;0.8155;0.0191;3.85;15.39;0.0473;0.1305;0.1205;0.0483;0.8412;0.0149;Linear SVC unweighted;0.77;0.9806;0.0002;0.946;0.0023;0.9617;0.0015;0.9804;0.0002;0.9333;0.0012;0.8155;0.0191;0.8412;0.0149;0.9321;0.0013;0.9321;0.0013
