Modell;trial_number;objective_value;penalty;alpha;max_iter;tol;average;l1_ratio;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;fit_time_mean_seconds;fit_time_total_seconds;generalization_gap_accuracy;generalization_gap_balanced_accuracy;generalization_gap_macro_f1;generalization_gap_weighted_f1;macro_f1_mean;macro_f1_std;model_name;score_time_mean_seconds;train_accuracy_mean;train_accuracy_std;train_balanced_accuracy_mean;train_balanced_accuracy_std;train_macro_f1_mean;train_macro_f1_std;train_weighted_f1_mean;train_weighted_f1_std;val_accuracy_mean;val_accuracy_std;val_balanced_accuracy_mean;val_balanced_accuracy_std;val_macro_f1_mean;val_macro_f1_std;val_weighted_f1_mean;val_weighted_f1_std;weighted_f1_mean;weighted_f1_std
SGD hinge;27;0.8523;l2;1.223155573916477e-05;2000;0.0001;False;;0.9413;0.0025;0.8554;0.0029;3.02;12.08;0.0511;0.1363;0.1224;0.0511;0.8523;0.0029;SGD hinge;0.81;0.9924;0.0002;0.9917;0.0011;0.9747;0.0048;0.9925;0.0002;0.9413;0.0025;0.8554;0.0029;0.8523;0.0029;0.9414;0.0023;0.9414;0.0023
SGD hinge;34;0.8517;l2;2.0876918476732626e-05;5000;0.0001;False;;0.9406;0.0022;0.8552;0.0085;2.72;10.87;0.0494;0.1327;0.1141;0.0492;0.8517;0.0062;SGD hinge;0.78;0.99;0.0005;0.9879;0.0047;0.9658;0.0072;0.9901;0.0005;0.9406;0.0022;0.8552;0.0085;0.8517;0.0062;0.9409;0.0019;0.9409;0.0019
SGD hinge;47;0.8515;l2;1.6167658197562466e-05;5000;0.0001;False;;0.9414;0.0018;0.8556;0.0064;3.15;12.59;0.0496;0.134;0.1165;0.0496;0.8515;0.0058;SGD hinge;0.83;0.991;0.0003;0.9896;0.0034;0.968;0.0106;0.9912;0.0003;0.9414;0.0018;0.8556;0.0064;0.8515;0.0058;0.9416;0.0018;0.9416;0.0018
SGD hinge;29;0.8509;l2;1.931649825109427e-05;5000;0.0001;False;;0.9405;0.0028;0.852;0.0115;2.71;10.83;0.0499;0.1364;0.116;0.0498;0.8509;0.0086;SGD hinge;0.79;0.9904;0.0004;0.9884;0.0047;0.9669;0.0076;0.9906;0.0003;0.9405;0.0028;0.852;0.0115;0.8509;0.0086;0.9408;0.0026;0.9408;0.0026
SGD hinge;38;0.85;l2;1.9623670444644783e-05;5000;0.0001;False;;0.9409;0.0016;0.8542;0.0127;2.83;11.33;0.049;0.1338;0.1146;0.0487;0.85;0.0055;SGD hinge;0.89;0.9899;0.0004;0.988;0.0045;0.9646;0.0056;0.99;0.0004;0.9409;0.0016;0.8542;0.0127;0.85;0.0055;0.9413;0.0015;0.9413;0.0015
SGD hinge;48;0.8499;l2;5.575838514736538e-06;5000;0.0001;False;;0.9397;0.0026;0.8527;0.0039;3.39;13.57;0.0537;0.1402;0.1249;0.0537;0.8499;0.0025;SGD hinge;0.93;0.9934;0.0003;0.9929;0.0016;0.9748;0.0069;0.9935;0.0003;0.9397;0.0026;0.8527;0.0039;0.8499;0.0025;0.9398;0.0023;0.9398;0.0023
SGD hinge;42;0.8498;l2;1.699115827565949e-05;5000;0.0001;False;;0.9407;0.0019;0.8529;0.0131;4.05;16.2;0.0503;0.1358;0.1154;0.0502;0.8498;0.0069;SGD hinge;1.27;0.991;0.0002;0.9887;0.0043;0.9652;0.0049;0.9911;0.0003;0.9407;0.0019;0.8529;0.0131;0.8498;0.0069;0.9409;0.0018;0.9409;0.0018
SGD hinge;52;0.8496;l2;5.353675254320319e-06;5000;0.0001;False;;0.9397;0.0037;0.8473;0.0044;3.67;14.69;0.0541;0.1457;0.1267;0.054;0.8496;0.0057;SGD hinge;1.1;0.9938;0.0002;0.993;0.0014;0.9763;0.005;0.9938;0.0002;0.9397;0.0037;0.8473;0.0044;0.8496;0.0057;0.9398;0.0036;0.9398;0.0036
SGD hinge;43;0.8488;l2;1.9503805166326156e-05;5000;0.0001;False;;0.9403;0.0019;0.8521;0.0143;3.12;12.49;0.05;0.1355;0.1156;0.0498;0.8488;0.0112;SGD hinge;0.8;0.9903;0.0001;0.9876;0.0048;0.9644;0.0064;0.9904;0.0002;0.9403;0.0019;0.8521;0.0143;0.8488;0.0112;0.9406;0.0019;0.9406;0.0019
SGD hinge;33;0.8486;l2;1.8751684520443306e-05;5000;0.0001;False;;0.9405;0.003;0.8537;0.0113;2.8;11.21;0.0501;0.1345;0.117;0.05;0.8486;0.0068;SGD hinge;0.82;0.9906;0.0004;0.9882;0.0047;0.9656;0.0077;0.9908;0.0004;0.9405;0.003;0.8537;0.0113;0.8486;0.0068;0.9408;0.0026;0.9408;0.0026
