Modell;trial_number;objective_value;penalty;alpha;max_iter;tol;average;l1_ratio;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;fit_time_mean_seconds;fit_time_total_seconds;generalization_gap_accuracy;generalization_gap_balanced_accuracy;generalization_gap_macro_f1;generalization_gap_weighted_f1;macro_f1_mean;macro_f1_std;model_name;score_time_mean_seconds;test_accuracy_mean;test_accuracy_std;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_macro_f1_mean;test_macro_f1_std;test_weighted_f1_mean;test_weighted_f1_std;train_accuracy_mean;train_accuracy_std;train_balanced_accuracy_mean;train_balanced_accuracy_std;train_macro_f1_mean;train_macro_f1_std;train_weighted_f1_mean;train_weighted_f1_std;weighted_f1_mean;weighted_f1_std
SGD hinge;16;0.8509;elasticnet;8.134650578175102e-06;2000;0.0001;False;0.06630695965395372;0.941;0.0026;0.8562;0.0088;5.29;21.15;0.052;0.1346;0.1184;0.0519;0.8509;0.0053;SGD hinge;0.94;0.941;0.0026;0.8562;0.0088;0.8509;0.0053;0.9412;0.0023;0.993;0.0003;0.9908;0.0023;0.9693;0.0069;0.9931;0.0003;0.9412;0.0023
SGD hinge;42;0.8478;elasticnet;2.4408427745666938e-06;5000;0.0001;False;0.11579523915809711;0.9389;0.0008;0.8494;0.0122;5.18;20.7;0.0554;0.1432;0.1262;0.0555;0.8478;0.0062;SGD hinge;0.75;0.9389;0.0008;0.8494;0.0122;0.8478;0.0062;0.9389;0.0008;0.9943;0.0005;0.9926;0.0019;0.974;0.0063;0.9944;0.0005;0.9389;0.0008
SGD hinge;41;0.8451;elasticnet;1.8766916970643716e-06;5000;0.0001;False;0.07657409712100584;0.9375;0.0017;0.8449;0.0059;5.35;21.42;0.0567;0.1471;0.1308;0.0569;0.8451;0.0061;SGD hinge;0.83;0.9375;0.0017;0.8449;0.0059;0.8451;0.0061;0.9374;0.0013;0.9942;0.0006;0.992;0.0021;0.9759;0.0043;0.9943;0.0006;0.9374;0.0013
SGD hinge;33;0.845;elasticnet;3.850139044221971e-06;1000;0.0001;False;0.08729629796684804;0.9387;0.0016;0.8488;0.0119;5.27;21.09;0.0554;0.1425;0.1281;0.0554;0.845;0.0089;SGD hinge;0.78;0.9387;0.0016;0.8488;0.0119;0.845;0.0089;0.9387;0.0017;0.9941;0.0005;0.9913;0.0022;0.9731;0.0062;0.9941;0.0005;0.9387;0.0017
SGD hinge;22;0.844;elasticnet;3.6664753175857784e-06;2000;0.0001;False;0.1073898605398526;0.9395;0.0022;0.8505;0.0109;5.13;20.51;0.0543;0.1424;0.1271;0.0545;0.844;0.0072;SGD hinge;0.82;0.9395;0.0022;0.8505;0.0109;0.844;0.0072;0.9395;0.0022;0.9938;0.0007;0.9929;0.0017;0.9711;0.0089;0.994;0.0007;0.9395;0.0022
SGD hinge;30;0.8428;elasticnet;1.1348451194974601e-06;1000;0.0001;False;0.09039874458455135;0.9361;0.0023;0.8486;0.0074;5.38;21.51;0.0583;0.1407;0.1284;0.0584;0.8428;0.0057;SGD hinge;0.81;0.9361;0.0023;0.8486;0.0074;0.8428;0.0057;0.9361;0.0021;0.9944;0.0006;0.9893;0.0042;0.9712;0.0099;0.9945;0.0005;0.9361;0.0021
SGD hinge;39;0.8414;elasticnet;1.7321149166216345e-06;5000;0.0001;False;0.0748984099358816;0.9378;0.0016;0.8437;0.0152;5.67;22.68;0.0566;0.1468;0.1298;0.0569;0.8414;0.0076;SGD hinge;0.8;0.9378;0.0016;0.8437;0.0152;0.8414;0.0076;0.9377;0.0014;0.9944;0.001;0.9905;0.0027;0.9712;0.0069;0.9946;0.0009;0.9377;0.0014
SGD hinge;11;0.8412;elasticnet;9.464114674843985e-06;2000;0.0001;False;0.2970177684661907;0.9391;0.0027;0.8536;0.0085;5.44;21.77;0.0517;0.1373;0.1274;0.0516;0.8412;0.0037;SGD hinge;0.79;0.9391;0.0027;0.8536;0.0085;0.8412;0.0037;0.9392;0.0026;0.9908;0.0003;0.9909;0.0015;0.9686;0.0063;0.9908;0.0003;0.9392;0.0026
SGD hinge;43;0.8409;elasticnet;2.6193272558713546e-06;5000;0.0001;False;0.11067607303641375;0.9371;0.0023;0.8466;0.017;5.54;22.17;0.0571;0.1462;0.1317;0.0569;0.8409;0.0122;SGD hinge;0.81;0.9371;0.0023;0.8466;0.017;0.8409;0.0122;0.9374;0.0021;0.9942;0.0004;0.9928;0.0019;0.9726;0.0081;0.9943;0.0004;0.9374;0.0021
SGD hinge;24;0.8408;elasticnet;2.0889683476765056e-06;2000;0.0001;False;0.11966549659828606;0.937;0.0021;0.8466;0.0117;5.76;23.04;0.0571;0.1463;0.1302;0.0571;0.8408;0.0097;SGD hinge;0.99;0.937;0.0021;0.8466;0.0117;0.8408;0.0097;0.9373;0.002;0.9941;0.0012;0.9929;0.0027;0.971;0.0103;0.9944;0.0008;0.9373;0.002
SGD hinge;31;0.8407;elasticnet;1.0344863915818467e-06;1000;0.0001;False;0.09203559777476;0.9358;0.0021;0.8473;0.0102;5.4;21.59;0.0586;0.1424;0.1279;0.0588;0.8407;0.0064;SGD hinge;0.83;0.9358;0.0021;0.8473;0.0102;0.8407;0.0064;0.9358;0.0024;0.9944;0.0003;0.9897;0.0026;0.9686;0.0061;0.9946;0.0003;0.9358;0.0024
SGD hinge;17;0.8402;elasticnet;3.4578585803329408e-06;2000;0.0001;False;0.052059391335030174;0.9381;0.0021;0.8466;0.0151;5.49;21.98;0.0553;0.1458;0.1303;0.0554;0.8402;0.0177;SGD hinge;0.82;0.9381;0.0021;0.8466;0.0151;0.8402;0.0177;0.9385;0.0019;0.9934;0.0016;0.9924;0.0028;0.9705;0.0117;0.9939;0.0009;0.9385;0.0019
SGD hinge;28;0.8398;elasticnet;9.510455496349715e-06;1000;0.0001;False;0.17637226880282186;0.9399;0.0019;0.8525;0.0142;6.32;25.29;0.0516;0.1385;0.1246;0.0516;0.8398;0.0089;SGD hinge;1.0;0.9399;0.0019;0.8525;0.0142;0.8398;0.0089;0.94;0.0017;0.9915;0.0005;0.991;0.0016;0.9644;0.0077;0.9916;0.0004;0.94;0.0017
SGD hinge;23;0.8396;elasticnet;6.562591066071081e-06;2000;0.0001;False;0.13642087521211016;0.9395;0.0019;0.8493;0.0113;5.24;20.97;0.0534;0.1414;0.1256;0.0534;0.8396;0.0075;SGD hinge;0.91;0.9395;0.0019;0.8493;0.0113;0.8396;0.0075;0.9396;0.0016;0.9929;0.0004;0.9907;0.0007;0.9652;0.0059;0.993;0.0003;0.9396;0.0016
SGD hinge;45;0.8396;elasticnet;5.252085254986975e-06;5000;0.0001;False;0.14881331115287677;0.9392;0.0029;0.8469;0.0114;5.69;22.77;0.0544;0.1449;0.1276;0.0546;0.8396;0.0072;SGD hinge;0.88;0.9392;0.0029;0.8469;0.0114;0.8396;0.0072;0.9392;0.0027;0.9936;0.0002;0.9918;0.0013;0.9672;0.0071;0.9938;0.0002;0.9392;0.0027
SGD hinge;44;0.8395;elasticnet;6.869749717255972e-06;5000;0.0001;False;0.1271604143576524;0.9403;0.003;0.8506;0.0123;5.04;20.17;0.0524;0.14;0.1232;0.0524;0.8395;0.0083;SGD hinge;0.77;0.9403;0.003;0.8506;0.0123;0.8395;0.0083;0.9405;0.0028;0.9927;0.0005;0.9906;0.0006;0.9627;0.0051;0.9929;0.0005;0.9405;0.0028
SGD hinge;10;0.8391;elasticnet;1.019932851577901e-05;2000;0.0001;False;0.29342475867899653;0.9383;0.0027;0.8526;0.0099;5.21;20.85;0.0516;0.1375;0.1264;0.0514;0.8391;0.0059;SGD hinge;0.73;0.9383;0.0027;0.8526;0.0099;0.8391;0.0059;0.9386;0.0024;0.9899;0.0005;0.9901;0.0004;0.9655;0.0045;0.99;0.0004;0.9386;0.0024
SGD hinge;21;0.8372;elasticnet;3.6551272909167294e-06;2000;0.0001;False;0.05612897890417276;0.9382;0.0016;0.8484;0.009;4.69;18.74;0.0545;0.1416;0.1271;0.0546;0.8372;0.0179;SGD hinge;0.77;0.9382;0.0016;0.8484;0.009;0.8372;0.0179;0.9388;0.0018;0.9927;0.0017;0.99;0.003;0.9643;0.0143;0.9934;0.0009;0.9388;0.0018
SGD hinge;12;0.837;elasticnet;1.8819519105571703e-05;2000;0.0001;False;0.2780158623258376;0.9348;0.0024;0.8569;0.007;5.55;22.18;0.0473;0.1304;0.1173;0.047;0.837;0.0064;SGD hinge;0.8;0.9348;0.0024;0.8569;0.007;0.837;0.0064;0.9354;0.0024;0.9821;0.0006;0.9873;0.001;0.9543;0.0052;0.9824;0.0006;0.9354;0.0024
SGD hinge;15;0.8363;elasticnet;6.917878430886958e-06;2000;0.0001;False;0.21499156747541698;0.9399;0.0027;0.8573;0.0036;4.9;19.6;0.0521;0.1329;0.1233;0.0523;0.8363;0.0067;SGD hinge;0.76;0.9399;0.0027;0.8573;0.0036;0.8363;0.0067;0.9401;0.0025;0.992;0.0007;0.9902;0.0024;0.9596;0.0107;0.9924;0.0003;0.9401;0.0025
