entity_id_candidate;name_official_candidate;place_rank;place_id;place_name;formatted_address;places_status
vr_009025;Brei nach neun e. V.;1.0;ChIJhfqMxBVQqEcR9ji_PG7SCZ0;Brei Nach Neun e.V.;Leuthener Str. 8, 10829 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_041884;Sportvereinigung Deutsche Jugendkraft Spandau e. V.;1.0;ChIJLZ-jCQJVqEcRENZD-AJV6TU;DJK Spandau Schützenverein;Hakenfelder Str. 30, 13587 Berlin;OK
vr_028291;Sportvereinigung Deutsche Jugendkraft Westen zu Berlin e. V. (DJK Westen);1.0;ChIJq-57QlpEqEcRGJ9qrqlvCE8;Sportvereinigung Deutsche Jugendkraft Westen zu Berlin, Kurzname: DJK Westen;Krontalstraße 82, 12309 Berlin-Bezirk Tempelhof-Schöneberg;OK
hrb_050000;Deutsche Bahn AG;1.0;ChIJpTiYcslRqEcRt0ackmzkKFg;Deutsche Bahn AG;Potsdamer Platz 2, 10785 Berlin;OK
hrb_050000;Deutsche Bahn AG;2.0;ChIJ-1YVFgBRqEcRIxd0hF6pn0Q;Deutsche Bahn AG;Hauptbahnhof UG Parking Entrance, 10557 Berlin;OK
vr_034436;aff Galerie e. V.;1.0;ChIJ1U-Wsm9OqEcRp1QBPDCWSr4;AFF Galerie e.V.;Kochhannstraße 14, 10249 Berlin-Bezirk Friedrichshain-Kreuzberg;OK
hrb_075198;Kelim Galerie GmbH;1.0;ChIJ5YEZ0-VQqEcRutI1YRAH8Vk;Kelim Galerie Teppichreparatur, Restauration und Teppichreinigung;Leibnizstraße 56, 10629 Berlin-Bezirk Charlottenburg-Wilmersdorf;OK
vr_019161;Freie Galerie e. V.;1.0;ChIJ8Zfk-COrqUcRjoYUawINW3o;Freie Galerie e V;13465 Berlin, Deutschland;OK
vr_035126;Schöneberg hilft e. V.;1.0;ChIJRRShONVRqEcRRsS4k2aER58;Schöneberg hilft e.V.;Geßlerstraße 11, 10829 Berlin-Bezirk Tempelhof-Schöneberg;OK
vr_005941;Trolle Schöneberg e. V.;1.0;ChIJU2yuwkNQqEcRjTbEG3KUGXU;Trolle Schöneberg e. V. (Kinderladen);Kyffhäuserstraße 19, 10781 Berlin-Bezirk Tempelhof-Schöneberg;OK
hrb_141075;Klinik Schöneberg GmbH;1.0;ChIJ8a6l3Z5ZqEcR-Na5YUObyvQ;Klinik Schöneberg Belegkrankenhaus und ambulantes OP-Zentrum;Fuggerstraße 23, 10777 Berlin-Bezirk Tempelhof-Schöneberg;OK
hrb_141075;Klinik Schöneberg GmbH;2.0;ChIJGcjvxTtRqEcR9rnVzM20OBI;Klinik Schöneberg;Fuggerstraße 23, 10777 Berlin;OK
vr_009874;Institut für Kulturanalyse e. V.;1.0;ChIJM9QJdSNRqEcRurP8-qkDaK0;Institut für Kulturanalyse e.V.;Schloßstraße 7-8, 14059 Berlin;OK
