;precision;recall;f1-score;support
Antidiskriminierung;0.9491525423728814;0.835820895522388;0.8888888888888888;67.0
Arbeit;0.9656786271450858;0.9904;0.9778830963665087;625.0
Bauen, Wohnen;0.7142857142857143;0.625;0.6666666666666666;8.0
Berlin-Image;0.0;0.0;0.0;0.0
Bildung;0.9555555555555556;0.9555555555555556;0.9555555555555556;270.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.6646341463414634;0.7785714285714286;0.7171052631578947;140.0
Denkmalschutz;0.8571428571428571;0.8571428571428571;0.8571428571428571;21.0
Europa;0.7142857142857143;0.5555555555555556;0.625;9.0
Familie;0.978021978021978;0.8811881188118812;0.9270833333333334;101.0
Finanzen;1.0;1.0;1.0;1.0
Forschung;0.8846153846153846;1.0;0.9387755102040817;23.0
Frauen;0.8888888888888888;0.42105263157894735;0.5714285714285714;19.0
Gesundheit;0.9095022624434389;0.8893805309734514;0.8993288590604027;226.0
Gleichstellung;0.8979591836734694;0.8627450980392157;0.88;51.0
Integration;0.8294573643410853;0.7753623188405797;0.8014981273408239;138.0
Internationales;0.0;0.0;0.0;2.0
Jugend;0.901010101010101;0.9291666666666667;0.9148717948717948;480.0
Justiz;0.8571428571428571;1.0;0.9230769230769231;18.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5555555555555556;0.5555555555555556;0.5555555555555556;18.0
Kultur;0.8918205804749341;0.9013333333333333;0.896551724137931;375.0
Medien;0.0;0.0;0.0;1.0
Pflege;0.9318181818181818;0.9318181818181818;0.9318181818181818;44.0
Sicherheit, Ordnung;0.8181818181818182;0.6923076923076923;0.75;13.0
Soziales;0.8810572687224669;0.8733624454148472;0.8771929824561403;229.0
Sport;0.9815195071868583;0.989648033126294;0.9855670103092784;483.0
Stadtentwicklung;0.8018867924528302;0.7798165137614679;0.7906976744186046;109.0
Tierschutz;0.0;0.0;0.0;1.0
Umwelt;0.9411764705882353;0.8695652173913043;0.903954802259887;92.0
Verbraucherschutz;0.8461538461538461;0.6875;0.7586206896551724;16.0
Verkehr;1.0;1.0;1.0;88.0
Wirtschaft;0.9977973568281938;0.9977973568281938;0.9977973568281938;908.0
Wissenschaft;0.7857142857142857;0.6875;0.7333333333333333;16.0
accuracy;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286
macro avg;0.7625004637794901;0.7288483120873562;0.7414185861833307;4592.0
weighted avg;0.9288066489388431;0.9285714285714286;0.9278621461877203;4592.0
