label_id;politikbereich
0;Antidiskriminierung
1;Arbeit
2;Bauen, Wohnen
3;Berlin-Image
4;Bildung
5;Bürgerschaftliches Engagement, Bürgerbeteiligung
6;Denkmalschutz
7;Europa
8;Familie
9;Finanzen
10;Forschung
11;Frauen
12;Gesundheit
13;Gleichstellung
14;Integration
15;Internationales
16;Jugend
17;Justiz
18;Kirchen, Religions-, Weltanschauungsgemeinschaften
19;Kultur
20;Medien
21;Pflege
22;Sicherheit, Ordnung
23;Soziales
24;Sport
25;Stadtentwicklung
26;Tierschutz
27;Umwelt
28;Verbraucherschutz
29;Verkehr
30;Wirtschaft
31;Wissenschaft
