;precision;recall;f1-score;support
Antidiskriminierung;0.6685314685314685;0.7081481481481482;0.6877697841726619;675.0
Arbeit;0.9340860543179738;0.9801472942683317;0.9565625;6246.0
Bauen, Wohnen;0.0;0.0;0.0;83.0
Berlin-Image;0.0;0.0;0.0;4.0
Bildung;0.9410007468259896;0.9340252038547072;0.9375;2698.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.6116633532140491;0.6569395017793594;0.6334934797529169;1405.0
Denkmalschutz;0.6038647342995169;0.5924170616113744;0.5980861244019139;211.0
Europa;1.0;0.011764705882352941;0.023255813953488372;85.0
Familie;0.9229946524064171;0.8578528827037774;0.8892323544564658;1006.0
Finanzen;0.0;0.0;0.0;14.0
Forschung;0.8590909090909091;0.8362831858407079;0.8475336322869955;226.0
Frauen;0.5625;0.04736842105263158;0.08737864077669903;190.0
Gesundheit;0.8491789109766638;0.8698539176626826;0.8593920839711349;2259.0
Gleichstellung;0.8412698412698413;0.733201581027668;0.7835269271383316;506.0
Integration;0.7085308056872038;0.6523636363636364;0.6792881484286255;1375.0
Internationales;0.0;0.0;0.0;22.0
Jugend;0.8735815249850687;0.9147383781530123;0.8936863543788187;4797.0
Justiz;0.72;0.29347826086956524;0.416988416988417;184.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.8125;0.14857142857142858;0.25120772946859904;175.0
Kultur;0.834840552118039;0.9344698987746404;0.881850175967823;3754.0
Medien;0.0;0.0;0.0;15.0
Pflege;0.8117977528089888;0.6583143507972665;0.7270440251572327;439.0
Sicherheit, Ordnung;0.9555555555555556;0.33076923076923076;0.49142857142857144;130.0
Soziales;0.7714162720619888;0.7832167832167832;0.7772717414877467;2288.0
Sport;0.972341733251383;0.9819987585350713;0.9771463866584311;4833.0
Stadtentwicklung;0.6814671814671814;0.6494940202391905;0.6650965614696185;1087.0
Tierschutz;0.0;0.0;0.0;7.0
Umwelt;0.8668146503884573;0.8489130434782609;0.8577704557935201;920.0
Verbraucherschutz;0.5882352941176471;0.4968944099378882;0.5387205387205387;161.0
Verkehr;0.9801401869158879;0.9490950226244343;0.964367816091954;884.0
Wirtschaft;0.9986744725505358;0.9959242123815818;0.9972974463625834;9078.0
Wissenschaft;0.7586206896551724;0.6748466257668712;0.7142857142857143;163.0
accuracy;0.8899390243902439;0.8899390243902439;0.8899390243902439;0.8899390243902439
macro avg;0.6602717919529981;0.5481590613847063;0.5667869194874625;45920.0
weighted avg;0.8858255131154261;0.8899390243902439;0.8838091092498719;45920.0
