politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.8857142857142857;0.9185185185185185;0.9018181818181819;675.0;Hard Voting tuned balanced mix
Arbeit;0.9738664987405542;0.9903938520653218;0.9820606445467535;6246.0;Hard Voting tuned balanced mix
Bauen, Wohnen;0.8846153846153846;0.8313253012048193;0.8571428571428571;83.0;Hard Voting tuned balanced mix
Berlin-Image;0.75;0.75;0.75;4.0;Hard Voting tuned balanced mix
Bildung;0.9711610486891386;0.9610822831727205;0.9660953800298062;2698.0;Hard Voting tuned balanced mix
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.732080723729993;0.7487544483985765;0.7403237156931738;1405.0;Hard Voting tuned balanced mix
Denkmalschutz;0.8651162790697674;0.8815165876777251;0.8732394366197183;211.0;Hard Voting tuned balanced mix
Europa;0.6285714285714286;0.5176470588235295;0.567741935483871;85.0;Hard Voting tuned balanced mix
Familie;0.9472111553784861;0.9453280318091452;0.9462686567164179;1006.0;Hard Voting tuned balanced mix
Finanzen;0.875;1.0;0.9333333333333333;14.0;Hard Voting tuned balanced mix
Forschung;0.9823788546255506;0.9867256637168141;0.9845474613686535;226.0;Hard Voting tuned balanced mix
Frauen;0.675531914893617;0.6684210526315789;0.671957671957672;190.0;Hard Voting tuned balanced mix
Gesundheit;0.9266136162687887;0.9278441788401948;0.9272284892722849;2259.0;Hard Voting tuned balanced mix
Gleichstellung;0.9191919191919192;0.8992094861660079;0.9090909090909091;506.0;Hard Voting tuned balanced mix
Integration;0.8360778443113772;0.8123636363636364;0.8240501659904095;1375.0;Hard Voting tuned balanced mix
Internationales;0.47058823529411764;0.7272727272727273;0.5714285714285714;22.0;Hard Voting tuned balanced mix
Jugend;0.9428571428571428;0.9355847404627893;0.9392068640786858;4797.0;Hard Voting tuned balanced mix
Justiz;0.956989247311828;0.967391304347826;0.9621621621621622;184.0;Hard Voting tuned balanced mix
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.6069364161849711;0.6;0.603448275862069;175.0;Hard Voting tuned balanced mix
Kultur;0.8727689954105049;0.9118273841236015;0.8918707660239709;3754.0;Hard Voting tuned balanced mix
Medien;0.6923076923076923;0.6;0.6428571428571429;15.0;Hard Voting tuned balanced mix
Pflege;0.9742388758782201;0.9476082004555809;0.9607390300230947;439.0;Hard Voting tuned balanced mix
Sicherheit, Ordnung;0.9174311926605505;0.7692307692307693;0.8368200836820083;130.0;Hard Voting tuned balanced mix
Soziales;0.9046973803071364;0.8754370629370629;0.8898267436694802;2288.0;Hard Voting tuned balanced mix
Sport;0.9908371511870054;0.9844816883923029;0.9876491956408926;4833.0;Hard Voting tuned balanced mix
Stadtentwicklung;0.8354430379746836;0.8500459981600736;0.8426812585499316;1087.0;Hard Voting tuned balanced mix
Tierschutz;1.0;0.8571428571428571;0.9230769230769231;7.0;Hard Voting tuned balanced mix
Umwelt;0.9403824521934758;0.908695652173913;0.9242675511332228;920.0;Hard Voting tuned balanced mix
Verbraucherschutz;0.8482758620689655;0.7639751552795031;0.803921568627451;161.0;Hard Voting tuned balanced mix
Verkehr;0.9942396313364056;0.9762443438914027;0.9851598173515982;884.0;Hard Voting tuned balanced mix
Wirtschaft;0.9998896003532789;0.9976867151354925;0.9987869430966034;9078.0;Hard Voting tuned balanced mix
Wissenschaft;0.9805194805194806;0.9263803680981595;0.9526813880126183;163.0;Hard Voting tuned balanced mix
accuracy;0.9405923344947735;0.9405923344947735;0.9405923344947735;0.9405923344947735;Hard Voting tuned balanced mix
macro avg;0.8681729171139297;0.8574417208278953;0.8609838476356397;45920.0;Hard Voting tuned balanced mix
weighted avg;0.9408914508660832;0.9405923344947735;0.9405999600147233;45920.0;Hard Voting tuned balanced mix
