politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.8539638386648123;0.9096296296296297;0.8809182209469153;675.0;Linear SVC balanced
Arbeit;0.9552565707133918;0.9775856548190842;0.9662921348314607;6246.0;Linear SVC balanced
Bauen, Wohnen;0.75;0.8313253012048193;0.7885714285714286;83.0;Linear SVC balanced
Berlin-Image;0.42857142857142855;0.75;0.5454545454545454;4.0;Linear SVC balanced
Bildung;0.9437616387337058;0.9392142327650111;0.94148244473342;2698.0;Linear SVC balanced
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.6015846066779853;0.7565836298932385;0.6702395964691047;1405.0;Linear SVC balanced
Denkmalschutz;0.7739130434782608;0.8436018957345972;0.8072562358276644;211.0;Linear SVC balanced
Europa;0.5454545454545454;0.49411764705882355;0.5185185185185185;85.0;Linear SVC balanced
Familie;0.8860640301318268;0.9353876739562624;0.9100580270793037;1006.0;Linear SVC balanced
Finanzen;0.875;1.0;0.9333333333333333;14.0;Linear SVC balanced
Forschung;0.9823788546255506;0.9867256637168141;0.9845474613686535;226.0;Linear SVC balanced
Frauen;0.47157190635451507;0.7421052631578947;0.5766871165644172;190.0;Linear SVC balanced
Gesundheit;0.9057223264540337;0.8548030101814963;0.8795263038032339;2259.0;Linear SVC balanced
Gleichstellung;0.8619402985074627;0.9130434782608695;0.8867562380038387;506.0;Linear SVC balanced
Integration;0.7578947368421053;0.7330909090909091;0.7452865064695009;1375.0;Linear SVC balanced
Internationales;0.3333333333333333;0.8181818181818182;0.47368421052631576;22.0;Linear SVC balanced
Jugend;0.9382379654859219;0.8613716906399833;0.8981632431257472;4797.0;Linear SVC balanced
Justiz;0.9621621621621622;0.967391304347826;0.964769647696477;184.0;Linear SVC balanced
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5238095238095238;0.6285714285714286;0.5714285714285714;175.0;Linear SVC balanced
Kultur;0.864558629776021;0.8740010655301013;0.8692542058550802;3754.0;Linear SVC balanced
Medien;0.5;0.4666666666666667;0.4827586206896552;15.0;Linear SVC balanced
Pflege;0.9234234234234234;0.9339407744874715;0.928652321630804;439.0;Linear SVC balanced
Sicherheit, Ordnung;0.7669172932330827;0.7846153846153846;0.7756653992395437;130.0;Linear SVC balanced
Soziales;0.8388349514563107;0.7552447552447552;0.7948482060717571;2288.0;Linear SVC balanced
Sport;0.9949399114484504;0.9764121663563005;0.9855889724310777;4833.0;Linear SVC balanced
Stadtentwicklung;0.731626754748142;0.8150873965041399;0.7711053089643168;1087.0;Linear SVC balanced
Tierschutz;1.0;0.8571428571428571;0.9230769230769231;7.0;Linear SVC balanced
Umwelt;0.9297848244620611;0.8923913043478261;0.9107043815862451;920.0;Linear SVC balanced
Verbraucherschutz;0.8289473684210527;0.782608695652174;0.805111821086262;161.0;Linear SVC balanced
Verkehr;0.9918887601390498;0.9683257918552036;0.979965655409273;884.0;Linear SVC balanced
Wirtschaft;1.0;0.995153117426746;0.9975706713780919;9078.0;Linear SVC balanced
Wissenschaft;0.9556962025316456;0.9263803680981595;0.940809968847352;163.0;Linear SVC balanced
accuracy;0.9123257839721254;0.9123257839721254;0.9123257839721254;0.9123257839721254;Linear SVC balanced
macro avg;0.8024137165512439;0.8428343929730716;0.8158776950318385;45920.0;Linear SVC balanced
weighted avg;0.9170741725972668;0.9123257839721254;0.9137619058887285;45920.0;Linear SVC balanced
