politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.8774647887323944;0.922962962962963;0.8996389891696751;675.0;Linear SVC balanced tuned
Arbeit;0.9766555502620295;0.9846301633045149;0.9806266443434585;6246.0;Linear SVC balanced tuned
Bauen, Wohnen;0.8625;0.8313253012048193;0.8466257668711656;83.0;Linear SVC balanced tuned
Berlin-Image;0.6;0.75;0.6666666666666666;4.0;Linear SVC balanced tuned
Bildung;0.9717514124293786;0.9562638991845812;0.9639454511488885;2698.0;Linear SVC balanced tuned
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7066929133858267;0.7665480427046263;0.7354045749402527;1405.0;Linear SVC balanced tuned
Denkmalschutz;0.8447488584474886;0.8767772511848341;0.8604651162790697;211.0;Linear SVC balanced tuned
Europa;0.5822784810126582;0.5411764705882353;0.5609756097560976;85.0;Linear SVC balanced tuned
Familie;0.9352941176470588;0.94831013916501;0.9417571569595261;1006.0;Linear SVC balanced tuned
Finanzen;0.875;1.0;0.9333333333333333;14.0;Linear SVC balanced tuned
Forschung;0.9823008849557522;0.9823008849557522;0.9823008849557522;226.0;Linear SVC balanced tuned
Frauen;0.6273584905660378;0.7;0.6616915422885572;190.0;Linear SVC balanced tuned
Gesundheit;0.921875;0.9141212926073484;0.917981773727495;2259.0;Linear SVC balanced tuned
Gleichstellung;0.896887159533074;0.9110671936758893;0.903921568627451;506.0;Linear SVC balanced tuned
Integration;0.80849532037437;0.8167272727272727;0.8125904486251809;1375.0;Linear SVC balanced tuned
Internationales;0.4857142857142857;0.7727272727272727;0.5964912280701754;22.0;Linear SVC balanced tuned
Jugend;0.9491817398794143;0.9189076506149677;0.9337993856582989;4797.0;Linear SVC balanced tuned
Justiz;0.9572192513368984;0.9728260869565217;0.9649595687331537;184.0;Linear SVC balanced tuned
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5638297872340425;0.6057142857142858;0.5840220385674931;175.0;Linear SVC balanced tuned
Kultur;0.8807363235675395;0.9049014384656366;0.8926553672316384;3754.0;Linear SVC balanced tuned
Medien;0.6666666666666666;0.5333333333333333;0.5925925925925926;15.0;Linear SVC balanced tuned
Pflege;0.9541284403669725;0.9476082004555809;0.9508571428571428;439.0;Linear SVC balanced tuned
Sicherheit, Ordnung;0.9035087719298246;0.7923076923076923;0.8442622950819673;130.0;Linear SVC balanced tuned
Soziales;0.896457765667575;0.8627622377622378;0.8792873051224944;2288.0;Linear SVC balanced tuned
Sport;0.9926900584795322;0.9834471342851231;0.988046980563351;4833.0;Linear SVC balanced tuned
Stadtentwicklung;0.8143607705779334;0.8555657773689053;0.8344549125168237;1087.0;Linear SVC balanced tuned
Tierschutz;1.0;0.8571428571428571;0.9230769230769231;7.0;Linear SVC balanced tuned
Umwelt;0.9330357142857143;0.908695652173913;0.920704845814978;920.0;Linear SVC balanced tuned
Verbraucherschutz;0.8493150684931506;0.7701863354037267;0.8078175895765473;161.0;Linear SVC balanced tuned
Verkehr;0.9930875576036866;0.9751131221719457;0.9840182648401826;884.0;Linear SVC balanced tuned
Wirtschaft;0.9998895881638512;0.997576558713373;0.9987317342156052;9078.0;Linear SVC balanced tuned
Wissenschaft;0.967948717948718;0.9263803680981595;0.9467084639498433;163.0;Linear SVC balanced tuned
accuracy;0.9370862369337979;0.9370862369337979;0.9370862369337979;0.9370862369337979;Linear SVC balanced tuned
macro avg;0.8524085464144336;0.858981464936293;0.8534503801925557;45920.0;Linear SVC balanced tuned
weighted avg;0.938400491432926;0.9370862369337979;0.9375600015137339;45920.0;Linear SVC balanced tuned
