politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.9254658385093167;0.882962962962963;0.9037149355572404;675.0;Linear SVC unweighted
Arbeit;0.9469337819238416;0.9913544668587896;0.9686351192804067;6246.0;Linear SVC unweighted
Bauen, Wohnen;0.9027777777777778;0.7831325301204819;0.8387096774193549;83.0;Linear SVC unweighted
Berlin-Image;0.75;0.75;0.75;4.0;Linear SVC unweighted
Bildung;0.9649056603773585;0.9477390659747962;0.956245325355273;2698.0;Linear SVC unweighted
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7075606276747504;0.706049822064057;0.7068044175276096;1405.0;Linear SVC unweighted
Denkmalschutz;0.8764044943820225;0.7393364928909952;0.8020565552699229;211.0;Linear SVC unweighted
Europa;0.6976744186046512;0.35294117647058826;0.46875;85.0;Linear SVC unweighted
Familie;0.9631966351209253;0.9105367793240556;0.9361267245784364;1006.0;Linear SVC unweighted
Finanzen;0.9333333333333333;1.0;0.9655172413793104;14.0;Linear SVC unweighted
Forschung;0.9820627802690582;0.9690265486725663;0.9755011135857461;226.0;Linear SVC unweighted
Frauen;0.7933884297520661;0.5052631578947369;0.617363344051447;190.0;Linear SVC unweighted
Gesundheit;0.8995152049360952;0.9034971226206286;0.9015017667844523;2259.0;Linear SVC unweighted
Gleichstellung;0.9252136752136753;0.8557312252964426;0.8891170431211499;506.0;Linear SVC unweighted
Integration;0.8400328137817884;0.7447272727272727;0.7895142636854279;1375.0;Linear SVC unweighted
Internationales;0.45;0.4090909090909091;0.42857142857142855;22.0;Linear SVC unweighted
Jugend;0.8985044865403788;0.9393370856785491;0.918467183041174;4797.0;Linear SVC unweighted
Justiz;0.9666666666666667;0.9456521739130435;0.9560439560439561;184.0;Linear SVC unweighted
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.8055555555555556;0.3314285714285714;0.46963562753036436;175.0;Linear SVC unweighted
Kultur;0.8245367112362186;0.9363345764517848;0.8768866159411252;3754.0;Linear SVC unweighted
Medien;0.75;0.4;0.5217391304347826;15.0;Linear SVC unweighted
Pflege;0.967741935483871;0.8883826879271071;0.9263657957244655;439.0;Linear SVC unweighted
Sicherheit, Ordnung;0.9101123595505618;0.6230769230769231;0.7397260273972602;130.0;Linear SVC unweighted
Soziales;0.8683602771362586;0.8216783216783217;0.844374578935549;2288.0;Linear SVC unweighted
Sport;0.9863098942128189;0.983860955927995;0.9850839030453697;4833.0;Linear SVC unweighted
Stadtentwicklung;0.8485456369107321;0.7782888684452622;0.8119001919385797;1087.0;Linear SVC unweighted
Tierschutz;1.0;0.8571428571428571;0.9230769230769231;7.0;Linear SVC unweighted
Umwelt;0.9297052154195011;0.8913043478260869;0.9100998890122086;920.0;Linear SVC unweighted
Verbraucherschutz;0.8571428571428571;0.6708074534161491;0.7526132404181185;161.0;Linear SVC unweighted
Verkehr;0.9918981481481481;0.9694570135746606;0.9805491990846682;884.0;Linear SVC unweighted
Wirtschaft;0.9998896369054189;0.9980171844018506;0.9989525332157231;9078.0;Linear SVC unweighted
Wissenschaft;0.9866666666666667;0.9079754601226994;0.9456869009584664;163.0;Linear SVC unweighted
accuracy;0.9266768292682926;0.9266768292682926;0.9266768292682926;0.9266768292682926;Linear SVC unweighted
macro avg;0.8796906724760098;0.7935666879369108;0.8268540828739357;45920.0;Linear SVC unweighted
weighted avg;0.9265756645705494;0.9266768292682926;0.9252057537159859;45920.0;Linear SVC unweighted
