politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.9235382308845578;0.9125925925925926;0.9180327868852459;675.0;Linear SVC unweighted tuned
Arbeit;0.9692139396780747;0.9929554915145693;0.9809410834321867;6246.0;Linear SVC unweighted tuned
Bauen, Wohnen;0.8933333333333333;0.8072289156626506;0.8481012658227848;83.0;Linear SVC unweighted tuned
Berlin-Image;0.75;0.75;0.75;4.0;Linear SVC unweighted tuned
Bildung;0.9707755713750469;0.9603409933283914;0.9655300912986771;2698.0;Linear SVC unweighted tuned
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7479794268919912;0.7245551601423488;0.7360809833694866;1405.0;Linear SVC unweighted tuned
Denkmalschutz;0.8979591836734694;0.8341232227488151;0.8648648648648649;211.0;Linear SVC unweighted tuned
Europa;0.7647058823529411;0.4588235294117647;0.5735294117647058;85.0;Linear SVC unweighted tuned
Familie;0.9661538461538461;0.9363817097415507;0.9510348308934882;1006.0;Linear SVC unweighted tuned
Finanzen;0.9333333333333333;1.0;0.9655172413793104;14.0;Linear SVC unweighted tuned
Forschung;0.9823788546255506;0.9867256637168141;0.9845474613686535;226.0;Linear SVC unweighted tuned
Frauen;0.7919463087248322;0.6210526315789474;0.696165191740413;190.0;Linear SVC unweighted tuned
Gesundheit;0.9263668430335097;0.9300575475874281;0.9282085266180694;2259.0;Linear SVC unweighted tuned
Gleichstellung;0.9318181818181818;0.8913043478260869;0.9111111111111111;506.0;Linear SVC unweighted tuned
Integration;0.8575827559661278;0.8101818181818182;0.8332086761406133;1375.0;Linear SVC unweighted tuned
Internationales;0.48;0.5454545454545454;0.5106382978723404;22.0;Linear SVC unweighted tuned
Jugend;0.9274770173646578;0.9464248488638732;0.9368551382583574;4797.0;Linear SVC unweighted tuned
Justiz;0.967391304347826;0.967391304347826;0.967391304347826;184.0;Linear SVC unweighted tuned
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.6942148760330579;0.48;0.5675675675675675;175.0;Linear SVC unweighted tuned
Kultur;0.8541768441621885;0.9315396909962707;0.8911824668705403;3754.0;Linear SVC unweighted tuned
Medien;0.8;0.5333333333333333;0.64;15.0;Linear SVC unweighted tuned
Pflege;0.9785714285714285;0.9362186788154897;0.9569266589057043;439.0;Linear SVC unweighted tuned
Sicherheit, Ordnung;0.9166666666666666;0.7615384615384615;0.8319327731092437;130.0;Linear SVC unweighted tuned
Soziales;0.8969995521719659;0.8754370629370629;0.8860871488608715;2288.0;Linear SVC unweighted tuned
Sport;0.9890018676073874;0.9861369749637906;0.9875673435557397;4833.0;Linear SVC unweighted tuned
Stadtentwicklung;0.8518867924528302;0.8307267709291628;0.8411737307871449;1087.0;Linear SVC unweighted tuned
Tierschutz;1.0;0.8571428571428571;0.9230769230769231;7.0;Linear SVC unweighted tuned
Umwelt;0.9489216799091941;0.908695652173913;0.9283731260410882;920.0;Linear SVC unweighted tuned
Verbraucherschutz;0.8661971830985915;0.7639751552795031;0.8118811881188119;161.0;Linear SVC unweighted tuned
Verkehr;0.9942396313364056;0.9762443438914027;0.9851598173515982;884.0;Linear SVC unweighted tuned
Wirtschaft;0.9997793225201368;0.99812734082397;0.9989526486963233;9078.0;Linear SVC unweighted tuned
Wissenschaft;0.993421052631579;0.9263803680981595;0.9587301587301588;163.0;Linear SVC unweighted tuned
accuracy;0.9411149825783972;0.9411149825783972;0.9411149825783972;0.9411149825783972;Linear SVC unweighted tuned
macro avg;0.8895634659599597;0.8387840941757312;0.8603240568387454;45920.0;Linear SVC unweighted tuned
weighted avg;0.940779531843248;0.9411149825783972;0.9404736814704493;45920.0;Linear SVC unweighted tuned
