politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.8479452054794521;0.917037037037037;0.8811387900355871;675.0;SGD hinge balanced
Arbeit;0.9717432950191571;0.9745437079731027;0.9731414868105516;6246.0;SGD hinge balanced
Bauen, Wohnen;0.8717948717948718;0.8192771084337349;0.84472049689441;83.0;SGD hinge balanced
Berlin-Image;0.42857142857142855;0.75;0.5454545454545454;4.0;SGD hinge balanced
Bildung;0.9469190794357832;0.9455151964418087;0.9462166172106825;2698.0;SGD hinge balanced
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.646274984857662;0.7594306049822064;0.6982984293193717;1405.0;SGD hinge balanced
Denkmalschutz;0.7974137931034483;0.8767772511848341;0.835214446952596;211.0;SGD hinge balanced
Europa;0.5060240963855421;0.49411764705882355;0.5;85.0;SGD hinge balanced
Familie;0.8796992481203008;0.9304174950298211;0.9043478260869565;1006.0;SGD hinge balanced
Finanzen;0.8;0.8571428571428571;0.8275862068965517;14.0;SGD hinge balanced
Forschung;0.5972602739726027;0.9646017699115044;0.7377326565143824;226.0;SGD hinge balanced
Frauen;0.5307692307692308;0.7263157894736842;0.6133333333333333;190.0;SGD hinge balanced
Gesundheit;0.903328773369813;0.8769366976538291;0.889937106918239;2259.0;SGD hinge balanced
Gleichstellung;0.8761904761904762;0.9090909090909091;0.8923375363724539;506.0;SGD hinge balanced
Integration;0.7777777777777778;0.7687272727272727;0.773226042428676;1375.0;SGD hinge balanced
Internationales;0.3404255319148936;0.7272727272727273;0.463768115942029;22.0;SGD hinge balanced
Jugend;0.9497737556561086;0.8751302897644361;0.9109254638168601;4797.0;SGD hinge balanced
Justiz;0.9421052631578948;0.9728260869565217;0.9572192513368984;184.0;SGD hinge balanced
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5225225225225225;0.6628571428571428;0.5843828715365239;175.0;SGD hinge balanced
Kultur;0.8905950095969289;0.865210442194992;0.8777192271314688;3754.0;SGD hinge balanced
Medien;0.35;0.4666666666666667;0.4;15.0;SGD hinge balanced
Pflege;0.8744769874476988;0.9521640091116174;0.9116684841875682;439.0;SGD hinge balanced
Sicherheit, Ordnung;0.7428571428571429;0.8;0.7703703703703704;130.0;SGD hinge balanced
Soziales;0.8492530556813037;0.8199300699300699;0.8343340004447409;2288.0;SGD hinge balanced
Sport;0.9903765690376569;0.9795158286778398;0.9849162592322896;4833.0;SGD hinge balanced
Stadtentwicklung;0.7677475898334793;0.8058877644894205;0.7863554757630161;1087.0;SGD hinge balanced
Tierschutz;0.75;0.8571428571428571;0.8;7.0;SGD hinge balanced
Umwelt;0.9003285870755751;0.8934782608695652;0.8968903436988543;920.0;SGD hinge balanced
Verbraucherschutz;0.8551724137931035;0.7701863354037267;0.8104575163398693;161.0;SGD hinge balanced
Verkehr;0.9928741092636579;0.9457013574660633;0.9687137891077636;884.0;SGD hinge balanced
Wirtschaft;0.998008408940031;0.9936109275170742;0.995804813424597;9078.0;SGD hinge balanced
Wissenschaft;0.9125;0.8957055214723927;0.9040247678018576;163.0;SGD hinge balanced
accuracy;0.9179006968641115;0.9179006968641115;0.9179006968641115;0.9179006968641115;SGD hinge balanced
macro avg;0.7815852963007983;0.8391630509979544;0.8037573834800952;45920.0;SGD hinge balanced
weighted avg;0.9223542200298919;0.9179006968641115;0.9193386895457225;45920.0;SGD hinge balanced
