politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.8766140602582496;0.9051851851851852;0.89067055393586;675.0;SGD hinge balanced tuned
Arbeit;0.9751621578864104;0.9868715978226065;0.980981936818652;6246.0;SGD hinge balanced tuned
Bauen, Wohnen;0.8333333333333334;0.8433734939759037;0.8383233532934131;83.0;SGD hinge balanced tuned
Berlin-Image;1.0;0.75;0.8571428571428571;4.0;SGD hinge balanced tuned
Bildung;0.9714393085306275;0.958117123795404;0.9647322261615973;2698.0;SGD hinge balanced tuned
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7413544668587896;0.7323843416370107;0.7368421052631579;1405.0;SGD hinge balanced tuned
Denkmalschutz;0.8532110091743119;0.8815165876777251;0.8671328671328671;211.0;SGD hinge balanced tuned
Europa;0.6349206349206349;0.47058823529411764;0.5405405405405406;85.0;SGD hinge balanced tuned
Familie;0.9391560353287537;0.9512922465208747;0.9451851851851852;1006.0;SGD hinge balanced tuned
Finanzen;0.8125;0.9285714285714286;0.8666666666666667;14.0;SGD hinge balanced tuned
Forschung;0.75;0.8495575221238938;0.7966804979253111;226.0;SGD hinge balanced tuned
Frauen;0.671875;0.6789473684210526;0.675392670157068;190.0;SGD hinge balanced tuned
Gesundheit;0.9172504378283712;0.9274015050907481;0.9222980409421088;2259.0;SGD hinge balanced tuned
Gleichstellung;0.9090909090909091;0.8893280632411067;0.8991008991008991;506.0;SGD hinge balanced tuned
Integration;0.8175235336712527;0.8210909090909091;0.8193033381712627;1375.0;SGD hinge balanced tuned
Internationales;0.3684210526315789;0.6363636363636364;0.4666666666666667;22.0;SGD hinge balanced tuned
Jugend;0.9430259548427938;0.9316239316239316;0.9372902684563759;4797.0;SGD hinge balanced tuned
Justiz;0.9621621621621622;0.967391304347826;0.964769647696477;184.0;SGD hinge balanced tuned
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5699481865284974;0.6285714285714286;0.5978260869565217;175.0;SGD hinge balanced tuned
Kultur;0.8796952981350145;0.8921150772509323;0.885861658510779;3754.0;SGD hinge balanced tuned
Medien;0.21951219512195122;0.6;0.32142857142857145;15.0;SGD hinge balanced tuned
Pflege;0.9501133786848073;0.9544419134396356;0.9522727272727273;439.0;SGD hinge balanced tuned
Sicherheit, Ordnung;0.9181818181818182;0.7769230769230769;0.8416666666666667;130.0;SGD hinge balanced tuned
Soziales;0.8883473637571998;0.8763111888111889;0.8822882288228823;2288.0;SGD hinge balanced tuned
Sport;0.9887546855476884;0.9824125801779433;0.9855734302023871;4833.0;SGD hinge balanced tuned
Stadtentwicklung;0.8045574057843996;0.8445262189512419;0.8240574506283662;1087.0;SGD hinge balanced tuned
Tierschutz;1.0;0.8571428571428571;0.9230769230769231;7.0;SGD hinge balanced tuned
Umwelt;0.9331823329558324;0.8956521739130435;0.9140321686078757;920.0;SGD hinge balanced tuned
Verbraucherschutz;0.8098159509202454;0.8198757763975155;0.8148148148148148;161.0;SGD hinge balanced tuned
Verkehr;0.993006993006993;0.9638009049773756;0.9781859931113662;884.0;SGD hinge balanced tuned
Wirtschaft;0.9997780490511597;0.9923992068737607;0.9960749626845044;9078.0;SGD hinge balanced tuned
Wissenschaft;0.8802395209580839;0.901840490797546;0.8909090909090909;163.0;SGD hinge balanced tuned
accuracy;0.9351698606271777;0.9351698606271777;0.9351698606271777;0.9351698606271777;SGD hinge balanced tuned
macro avg;0.8378804135984959;0.8467380429690909;0.8368059092172013;45920.0;SGD hinge balanced tuned
weighted avg;0.9362242635878528;0.9351698606271777;0.9355341209195379;45920.0;SGD hinge balanced tuned
