politikbereich;precision;recall;f1-score;support;Modell
Antidiskriminierung;0.8097826086956522;0.882962962962963;0.8447909284195606;675.0;SGD log loss balanced
Arbeit;0.916867107636801;0.9764649375600384;0.9457280198480384;6246.0;SGD log loss balanced
Bauen, Wohnen;0.75;0.8313253012048193;0.7885714285714286;83.0;SGD log loss balanced
Berlin-Image;0.3;0.75;0.42857142857142855;4.0;SGD log loss balanced
Bildung;0.9097171863669326;0.9299481097108969;0.9197214076246334;2698.0;SGD log loss balanced
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.45289122523251113;0.797153024911032;0.5776173285198556;1405.0;SGD log loss balanced
Denkmalschutz;0.7713004484304933;0.8151658767772512;0.7926267281105991;211.0;SGD log loss balanced
Europa;0.6285714285714286;0.5176470588235295;0.567741935483871;85.0;SGD log loss balanced
Familie;0.8943248532289628;0.9085487077534792;0.9013806706114399;1006.0;SGD log loss balanced
Finanzen;0.7777777777777778;1.0;0.875;14.0;SGD log loss balanced
Forschung;0.7348993288590604;0.9690265486725663;0.8358778625954199;226.0;SGD log loss balanced
Frauen;0.41210374639769454;0.7526315789473684;0.5325884543761639;190.0;SGD log loss balanced
Gesundheit;0.9099499722067815;0.7246569278441788;0.8068013799901429;2259.0;SGD log loss balanced
Gleichstellung;0.8109640831758034;0.8478260869565217;0.8289855072463768;506.0;SGD log loss balanced
Integration;0.6477272727272727;0.6632727272727272;0.6554078332734459;1375.0;SGD log loss balanced
Internationales;0.34;0.7727272727272727;0.4722222222222222;22.0;SGD log loss balanced
Jugend;0.9180642069956876;0.7988326037106525;0.8543083268308995;4797.0;SGD log loss balanced
Justiz;0.946524064171123;0.9619565217391305;0.954177897574124;184.0;SGD log loss balanced
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5414364640883977;0.56;0.550561797752809;175.0;SGD log loss balanced
Kultur;0.8673410404624278;0.7994139584443261;0.8319933462711394;3754.0;SGD log loss balanced
Medien;0.47058823529411764;0.5333333333333333;0.5;15.0;SGD log loss balanced
Pflege;0.9170616113744076;0.8815489749430524;0.8989547038327527;439.0;SGD log loss balanced
Sicherheit, Ordnung;0.8389830508474576;0.7615384615384615;0.7983870967741935;130.0;SGD log loss balanced
Soziales;0.8060413354531002;0.6647727272727273;0.728622754491018;2288.0;SGD log loss balanced
Sport;0.9963195496860793;0.952203600248293;0.9737621667371985;4833.0;SGD log loss balanced
Stadtentwicklung;0.6131597975415762;0.7801287948482061;0.6866396761133603;1087.0;SGD log loss balanced
Tierschutz;0.75;0.8571428571428571;0.8;7.0;SGD log loss balanced
Umwelt;0.9246171967020024;0.8532608695652174;0.8875070661390616;920.0;SGD log loss balanced
Verbraucherschutz;0.8591549295774648;0.7577639751552795;0.8052805280528053;161.0;SGD log loss balanced
Verkehr;0.9952718676122931;0.9524886877828054;0.9734104046242774;884.0;SGD log loss balanced
Wirtschaft;1.0;0.9905265476977307;0.995240730492529;9078.0;SGD log loss balanced
Wissenschaft;0.9466666666666667;0.8711656441717791;0.9073482428115016;163.0;SGD log loss balanced
accuracy;0.8788980836236934;0.8788980836236934;0.8788980836236934;0.8788980836236934;SGD log loss balanced
macro avg;0.7643158454931241;0.816107333741203;0.7787446210613218;45920.0;SGD log loss balanced
weighted avg;0.8937842541575397;0.8788980836236934;0.8826109861644795;45920.0;SGD log loss balanced
