;precision;recall;f1-score;support
Antidiskriminierung;0.9647887323943662;0.8106508875739645;0.8810289389067524;169.0
Arbeit;0.9668335419274092;0.9897501601537476;0.9781576448243114;1561.0
Bauen, Wohnen;0.8571428571428571;0.8571428571428571;0.8571428571428571;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9667170953101362;0.9480712166172107;0.9573033707865168;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.6906666666666667;0.7378917378917379;0.7134986225895317;351.0
Denkmalschutz;0.8275862068965517;0.9056603773584906;0.8648648648648649;53.0
Europa;0.6666666666666666;0.5714285714285714;0.6153846153846154;21.0
Familie;0.9433198380566802;0.9246031746031746;0.9338677354709419;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9333333333333333;1.0;0.9655172413793104;56.0
Frauen;0.6428571428571429;0.375;0.47368421052631576;48.0
Gesundheit;0.9259927797833934;0.9079646017699115;0.9168900804289544;565.0
Gleichstellung;0.8582089552238806;0.9126984126984127;0.8846153846153846;126.0
Integration;0.8154761904761905;0.7965116279069767;0.8058823529411765;344.0
Internationales;0.0;0.0;0.0;5.0
Jugend;0.9013632718524459;0.9374478732276897;0.9190515126737531;1199.0
Justiz;0.9772727272727273;0.9347826086956522;0.9555555555555556;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.8108108108108109;0.6818181818181818;0.7407407407407407;44.0
Kultur;0.8942014242115972;0.9371002132196162;0.9151483602290473;938.0
Medien;0.4;0.5;0.4444444444444444;4.0
Pflege;0.9615384615384616;0.9090909090909091;0.9345794392523364;110.0
Sicherheit, Ordnung;0.8787878787878788;0.90625;0.8923076923076924;32.0
Soziales;0.8878842676311031;0.8583916083916084;0.8728888888888889;572.0
Sport;0.9875827814569537;0.9875827814569537;0.9875827814569537;1208.0
Stadtentwicklung;0.8247011952191236;0.7610294117647058;0.7915869980879541;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9238095238095239;0.8434782608695652;0.8818181818181818;230.0
Verbraucherschutz;0.8;0.8;0.8;40.0
Verkehr;0.9732142857142857;0.9864253393665159;0.9797752808988764;221.0
Wirtschaft;0.99779638607316;0.9973568281938326;0.997576558713373;2270.0
Wissenschaft;0.9722222222222222;0.8536585365853658;0.9090909090909091;41.0
accuracy;0.9331010452961672;0.9331010452961672;0.9331010452961672;0.9331010452961672
macro avg;0.7890867263542365;0.7697433180570517;0.7771870395006324;11480.0
weighted avg;0.9324071826903014;0.9331010452961672;0.9322166721327768;11480.0
