;precision;recall;f1-score;support
Antidiskriminierung;0.9245283018867925;0.8698224852071006;0.8963414634146342;169.0
Arbeit;0.9803424223208624;0.9903907751441384;0.9853409815168898;1561.0
Bauen, Wohnen;1.0;0.8571428571428571;0.9230769230769231;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9773071104387292;0.9584569732937686;0.9677902621722847;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7186629526462396;0.7350427350427351;0.7267605633802817;351.0
Denkmalschutz;0.9583333333333334;0.8679245283018868;0.9108910891089109;53.0
Europa;0.7857142857142857;0.5238095238095238;0.6285714285714286;21.0
Familie;0.9794238683127572;0.9444444444444444;0.9616161616161616;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9333333333333333;1.0;0.9655172413793104;56.0
Frauen;0.7857142857142857;0.6875;0.7333333333333333;48.0
Gesundheit;0.9244604316546763;0.9097345132743363;0.9170383586083853;565.0
Gleichstellung;0.8731343283582089;0.9285714285714286;0.9;126.0
Integration;0.8710601719197708;0.8837209302325582;0.8773448773448773;344.0
Internationales;0.3333333333333333;0.2;0.25;5.0
Jugend;0.9303079416531604;0.957464553794829;0.9436909165639129;1199.0
Justiz;0.9782608695652174;0.9782608695652174;0.9782608695652174;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.6944444444444444;0.5681818181818182;0.625;44.0
Kultur;0.876604146100691;0.9466950959488273;0.9103024090210149;938.0
Medien;0.5;0.5;0.5;4.0
Pflege;0.9803921568627451;0.9090909090909091;0.9433962264150944;110.0
Sicherheit, Ordnung;1.0;0.90625;0.9508196721311475;32.0
Soziales;0.923217550274223;0.8828671328671329;0.902591599642538;572.0
Sport;0.9958471760797342;0.9925496688741722;0.9941956882255389;1208.0
Stadtentwicklung;0.8571428571428571;0.8602941176470589;0.8587155963302753;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9380952380952381;0.8565217391304348;0.8954545454545455;230.0
Verbraucherschutz;0.8333333333333334;0.75;0.7894736842105263;40.0
Verkehr;1.0;0.9864253393665159;0.9931662870159453;221.0
Wirtschaft;0.999558693733451;0.9977973568281938;0.9986772486772487;2270.0
Wissenschaft;1.0;0.8536585365853658;0.9210526315789473;41.0
accuracy;0.9459059233449477;0.9459059233449477;0.9459059233449477;0.9459059233449477
macro avg;0.8297672676953658;0.7907068228857892;0.8077631268236054;11480.0
weighted avg;0.9459618574366763;0.9459059233449477;0.9455311874514735;11480.0
