;precision;recall;f1-score;support
Antidiskriminierung;0.9325153374233128;0.8994082840236687;0.9156626506024096;169.0
Arbeit;0.9841571609632446;0.9948750800768738;0.9894870978018477;1561.0
Bauen, Wohnen;1.0;0.8571428571428571;0.9230769230769231;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.984779299847793;0.9599406528189911;0.9722013523666416;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.771513353115727;0.7407407407407407;0.7558139534883721;351.0
Denkmalschutz;0.8653846153846154;0.8490566037735849;0.8571428571428571;53.0
Europa;0.9230769230769231;0.5714285714285714;0.7058823529411765;21.0
Familie;0.9798387096774194;0.9642857142857143;0.972;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9655172413793104;1.0;0.9824561403508771;56.0
Frauen;0.8571428571428571;0.625;0.7228915662650602;48.0
Gesundheit;0.9387387387387387;0.9221238938053097;0.9303571428571429;565.0
Gleichstellung;0.8796992481203008;0.9285714285714286;0.9034749034749034;126.0
Integration;0.8679775280898876;0.8982558139534884;0.8828571428571429;344.0
Internationales;0.8;0.8;0.8;5.0
Jugend;0.9367909238249594;0.9641367806505421;0.9502671598849157;1199.0
Justiz;0.9782608695652174;0.9782608695652174;0.9782608695652174;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.7105263157894737;0.6136363636363636;0.6585365853658537;44.0
Kultur;0.8764705882352941;0.9530916844349681;0.9131767109295199;938.0
Medien;1.0;0.5;0.6666666666666666;4.0
Pflege;0.9813084112149533;0.9545454545454546;0.967741935483871;110.0
Sicherheit, Ordnung;0.9666666666666667;0.90625;0.9354838709677419;32.0
Soziales;0.9144385026737968;0.8968531468531469;0.9055604589585172;572.0
Sport;0.9941860465116279;0.9908940397350994;0.9925373134328358;1208.0
Stadtentwicklung;0.9;0.8602941176470589;0.8796992481203008;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9607843137254902;0.8521739130434782;0.9032258064516129;230.0
Verbraucherschutz;0.8285714285714286;0.725;0.7733333333333333;40.0
Verkehr;0.9819819819819819;0.9864253393665159;0.9841986455981941;221.0
Wirtschaft;0.999559277214632;0.9991189427312775;0.9993390614672836;2270.0
Wissenschaft;1.0;0.8780487804878049;0.935064935064935;41.0
accuracy;0.9512195121951219;0.9512195121951219;0.9512195121951219;0.9512195121951219
macro avg;0.8681214480917392;0.8146737210411924;0.8361373963911298;11480.0
weighted avg;0.9511376598732083;0.9512195121951219;0.9506623780055621;11480.0
