;precision;recall;f1-score;support
Antidiskriminierung;0.9612903225806452;0.8816568047337278;0.9197530864197531;169.0
Arbeit;0.986624203821656;0.9923126201153107;0.9894602363462153;1561.0
Bauen, Wohnen;1.0;0.9047619047619048;0.95;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9818731117824774;0.9643916913946587;0.9730538922155688;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7663817663817664;0.7663817663817664;0.7663817663817664;351.0
Denkmalschutz;0.7796610169491526;0.8679245283018868;0.8214285714285714;53.0
Europa;0.7272727272727273;0.38095238095238093;0.5;21.0
Familie;0.9644268774703557;0.9682539682539683;0.9663366336633663;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9824561403508771;1.0;0.9911504424778761;56.0
Frauen;0.7619047619047619;0.6666666666666666;0.7111111111111111;48.0
Gesundheit;0.9087719298245615;0.9168141592920354;0.9127753303964757;565.0
Gleichstellung;0.8439716312056738;0.9444444444444444;0.8913857677902621;126.0
Integration;0.8515406162464986;0.8837209302325582;0.8673323823109843;344.0
Internationales;0.18181818181818182;0.8;0.2962962962962963;5.0
Jugend;0.957286432160804;0.9532944120100083;0.9552862515670706;1199.0
Justiz;0.9782608695652174;0.9782608695652174;0.9782608695652174;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.6052631578947368;0.5227272727272727;0.5609756097560976;44.0
Kultur;0.8978102189781022;0.917910447761194;0.9077490774907749;938.0
Medien;0.3333333333333333;0.5;0.4;4.0
Pflege;0.9727272727272728;0.9727272727272728;0.9727272727272728;110.0
Sicherheit, Ordnung;0.8857142857142857;0.96875;0.9253731343283582;32.0
Soziales;0.9050966608084359;0.9003496503496503;0.9027169149868537;572.0
Sport;0.9966638865721434;0.9892384105960265;0.9929372663066057;1208.0
Stadtentwicklung;0.8439716312056738;0.875;0.8592057761732852;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9425837320574163;0.8565217391304348;0.89749430523918;230.0
Verbraucherschutz;0.8157894736842105;0.775;0.7948717948717948;40.0
Verkehr;0.990909090909091;0.9864253393665159;0.9886621315192744;221.0
Wirtschaft;0.9991169977924945;0.9969162995594714;0.9980154355016538;2270.0
Wissenschaft;1.0;0.8292682926829268;0.9066666666666666;41.0
accuracy;0.947212543554007;0.947212543554007;0.947212543554007;0.947212543554007
macro avg;0.8069537603441422;0.811270996000228;0.7999190007355734;11480.0
weighted avg;0.9486161956937481;0.947212543554007;0.947517427178437;11480.0
