;precision;recall;f1-score;support
Antidiskriminierung;0.15060240963855423;0.591715976331361;0.24009603841536614;169.0
Arbeit;0.7834776815456362;0.7533632286995515;0.768125408229915;1561.0
Bauen, Wohnen;0.12;0.8571428571428571;0.21052631578947367;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9946236559139785;0.2744807121661721;0.43023255813953487;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.17147806004618937;0.8461538461538461;0.28516562650024;351.0
Denkmalschutz;0.3162393162393162;0.6981132075471698;0.43529411764705883;53.0
Europa;0.04054054054054054;0.14285714285714285;0.06315789473684211;21.0
Familie;0.24183006535947713;0.8809523809523809;0.37948717948717947;252.0
Finanzen;0.8;1.0;0.8888888888888888;4.0
Forschung;0.7931034482758621;0.8214285714285714;0.8070175438596491;56.0
Frauen;0.08290155440414508;0.3333333333333333;0.13278008298755187;48.0
Gesundheit;0.9333333333333333;0.12389380530973451;0.21875;565.0
Gleichstellung;0.43349753694581283;0.6984126984126984;0.5349544072948328;126.0
Integration;0.6060606060606061;0.05813953488372093;0.10610079575596817;344.0
Internationales;0.17391304347826086;0.8;0.2857142857142857;5.0
Jugend;0.9688715953307393;0.20767306088407006;0.34203296703296704;1199.0
Justiz;0.35;0.6086956521739131;0.4444444444444444;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.06951871657754011;0.5909090909090909;0.12440191387559808;44.0
Kultur;0.875;0.12686567164179105;0.22160148975791433;938.0
Medien;0.16666666666666666;0.75;0.2727272727272727;4.0
Pflege;0.24479166666666666;0.42727272727272725;0.31125827814569534;110.0
Sicherheit, Ordnung;0.0665083135391924;0.875;0.12362030905077263;32.0
Soziales;0.5675675675675675;0.03671328671328671;0.06896551724137931;572.0
Sport;0.9919028340080972;0.6084437086092715;0.754232939969215;1208.0
Stadtentwicklung;0.30113636363636365;0.5845588235294118;0.3975;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.8707865168539326;0.6739130434782609;0.7598039215686274;230.0
Verbraucherschutz;0.5;0.35;0.4117647058823529;40.0
Verkehr;0.9272727272727272;0.9230769230769231;0.9251700680272109;221.0
Wirtschaft;1.0;0.9907488986784141;0.9953529541934056;2270.0
Wissenschaft;0.7142857142857143;0.7317073170731707;0.7228915662650602;41.0
accuracy;0.553397212543554;0.553397212543554;0.553397212543554;0.553397212543554
macro avg;0.47674718544334127;0.5426739218518397;0.395689359113397;11480.0
weighted avg;0.8069319214778082;0.553397212543554;0.5631366163854151;11480.0
