;precision;recall;f1-score;support
Antidiskriminierung;0.773972602739726;0.6686390532544378;0.7174603174603175;169.0
Arbeit;0.8063343717549325;0.9948750800768738;0.8907370232291368;1561.0
Bauen, Wohnen;1.0;0.23809523809523808;0.38461538461538464;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9409780775716695;0.827893175074184;0.8808208366219415;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7056451612903226;0.4985754985754986;0.5843071786310517;351.0
Denkmalschutz;0.68;0.32075471698113206;0.4358974358974359;53.0
Europa;0.7777777777777778;0.3333333333333333;0.4666666666666667;21.0
Familie;0.8883720930232558;0.7579365079365079;0.8179871520342612;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.8888888888888888;1.0;0.9411764705882353;56.0
Frauen;0.8823529411764706;0.3125;0.46153846153846156;48.0
Gesundheit;0.8615664845173042;0.8371681415929203;0.8491921005385996;565.0
Gleichstellung;0.8490566037735849;0.7142857142857143;0.7758620689655172;126.0
Integration;0.8097345132743363;0.5319767441860465;0.6421052631578947;344.0
Internationales;0.0;0.0;0.0;5.0
Jugend;0.8153618906942393;0.920767306088407;0.8648648648648649;1199.0
Justiz;0.9534883720930233;0.8913043478260869;0.9213483146067416;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;1.0;0.22727272727272727;0.37037037037037035;44.0
Kultur;0.7739130434782608;0.9488272921108742;0.8524904214559387;938.0
Medien;0.0;0.0;0.0;4.0
Pflege;0.9733333333333334;0.6636363636363637;0.7891891891891892;110.0
Sicherheit, Ordnung;0.3333333333333333;0.0625;0.10526315789473684;32.0
Soziales;0.8114035087719298;0.6468531468531469;0.7198443579766537;572.0
Sport;0.9337490257209665;0.9917218543046358;0.9618627057406663;1208.0
Stadtentwicklung;0.8082901554404145;0.5735294117647058;0.6709677419354839;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9130434782608695;0.7304347826086957;0.8115942028985508;230.0
Verbraucherschutz;0.8;0.5;0.6153846153846154;40.0
Verkehr;0.919831223628692;0.9864253393665159;0.9519650655021834;221.0
Wirtschaft;0.9826238053866203;0.9964757709251101;0.989501312335958;2270.0
Wissenschaft;1.0;0.7317073170731707;0.8450704225352113;41.0
accuracy;0.8695121951219512;0.8695121951219512;0.8695121951219512;0.8695121951219512
macro avg;0.746345333935311;0.5908590269756977;0.6349400969573772;11480.0
weighted avg;0.8689030591798503;0.8695121951219512;0.8605398762745705;11480.0
