;precision;recall;f1-score;support
Antidiskriminierung;0.9058823529411765;0.9112426035502958;0.9085545722713865;169.0
Arbeit;0.9859424920127795;0.988468930172966;0.9872040946896993;1561.0
Bauen, Wohnen;1.0;0.8571428571428571;0.9230769230769231;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9788838612368024;0.9629080118694362;0.9708302169035153;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7486338797814208;0.7806267806267806;0.7642956764295676;351.0
Denkmalschutz;0.8867924528301887;0.8867924528301887;0.8867924528301887;53.0
Europa;0.6842105263157895;0.6190476190476191;0.65;21.0
Familie;0.9759036144578314;0.9642857142857143;0.9700598802395209;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9655172413793104;1.0;0.9824561403508771;56.0
Frauen;0.7272727272727273;0.6666666666666666;0.6956521739130435;48.0
Gesundheit;0.9354838709677419;0.9238938053097345;0.9296527159394479;565.0
Gleichstellung;0.8666666666666667;0.9285714285714286;0.896551724137931;126.0
Integration;0.850415512465374;0.8924418604651163;0.8709219858156029;344.0
Internationales;0.6666666666666666;0.8;0.7272727272727273;5.0
Jugend;0.9549248747913188;0.9541284403669725;0.9545264914476429;1199.0
Justiz;0.9782608695652174;0.9782608695652174;0.9782608695652174;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5740740740740741;0.7045454545454546;0.6326530612244898;44.0
Kultur;0.8934426229508197;0.929637526652452;0.9111807732497388;938.0
Medien;1.0;0.5;0.6666666666666666;4.0
Pflege;0.9727272727272728;0.9727272727272728;0.9727272727272728;110.0
Sicherheit, Ordnung;0.9090909090909091;0.9375;0.9230769230769231;32.0
Soziales;0.9184782608695652;0.8863636363636364;0.902135231316726;572.0
Sport;0.996661101836394;0.9884105960264901;0.9925187032418953;1208.0
Stadtentwicklung;0.8823529411764706;0.8823529411764706;0.8823529411764706;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9516908212560387;0.8565217391304348;0.9016018306636155;230.0
Verbraucherschutz;0.8205128205128205;0.8;0.810126582278481;40.0
Verkehr;0.9775784753363229;0.9864253393665159;0.9819819819819819;221.0
Wirtschaft;0.9995584988962473;0.9973568281938326;0.9984564498346197;2270.0
Wissenschaft;1.0;0.8780487804878049;0.935064935064935;41.0
accuracy;0.9496515679442509;0.9496515679442509;0.9496515679442509;0.9496515679442509
macro avg;0.8439882940024359;0.8260740048481674;0.8314578749183471;11480.0
weighted avg;0.950351036066047;0.9496515679442509;0.949768814300277;11480.0
