;precision;recall;f1-score;support
Antidiskriminierung;0.8444444444444444;0.8994082840236687;0.8710601719197708;169.0
Arbeit;0.9695044472681067;0.9775784753363229;0.9735247208931419;1561.0
Bauen, Wohnen;0.9;0.8571428571428571;0.8780487804878049;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9544764795144158;0.9332344213649851;0.9437359339834959;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.6469194312796208;0.7777777777777778;0.7063389391979301;351.0
Denkmalschutz;0.7966101694915254;0.8867924528301887;0.8392857142857143;53.0
Europa;0.5555555555555556;0.7142857142857143;0.625;21.0
Familie;0.9266409266409267;0.9523809523809523;0.9393346379647749;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9655172413793104;1.0;0.9824561403508771;56.0
Frauen;0.6065573770491803;0.7708333333333334;0.6788990825688074;48.0
Gesundheit;0.9297912713472486;0.8672566371681416;0.8974358974358975;565.0
Gleichstellung;0.8125;0.9285714285714286;0.8666666666666667;126.0
Integration;0.8011527377521613;0.8081395348837209;0.804630969609262;344.0
Internationales;0.2857142857142857;0.8;0.42105263157894735;5.0
Jugend;0.9451812555260831;0.8915763135946623;0.9175965665236051;1199.0
Justiz;0.9574468085106383;0.9782608695652174;0.967741935483871;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.559322033898305;0.75;0.6407766990291263;44.0
Kultur;0.8711018711018711;0.8933901918976546;0.8821052631578947;938.0
Medien;1.0;0.5;0.6666666666666666;4.0
Pflege;0.9469026548672567;0.9727272727272728;0.9596412556053812;110.0
Sicherheit, Ordnung;0.8333333333333334;0.9375;0.8823529411764706;32.0
Soziales;0.8660550458715597;0.8251748251748252;0.8451208594449419;572.0
Sport;0.9974747474747475;0.9809602649006622;0.9891485809682805;1208.0
Stadtentwicklung;0.800711743772242;0.8272058823529411;0.8137432188065099;272.0
Tierschutz;1.0;0.5;0.6666666666666666;2.0
Umwelt;0.9514563106796117;0.8521739130434782;0.8990825688073395;230.0
Verbraucherschutz;0.8333333333333334;0.75;0.7894736842105263;40.0
Verkehr;0.9863013698630136;0.9773755656108597;0.9818181818181818;221.0
Wirtschaft;1.0;0.9964757709251101;0.9982347749338041;2270.0
Wissenschaft;0.9459459459459459;0.8536585365853658;0.8974358974358975;41.0
accuracy;0.9261324041811847;0.9261324041811847;0.9261324041811847;0.9261324041811847
macro avg;0.8278109631754601;0.8331212898586606;0.8195336264899454;11480.0
weighted avg;0.9301050217626716;0.9261324041811847;0.9273773986454698;11480.0
