;precision;recall;f1-score;support
Antidiskriminierung;0.9337748344370861;0.834319526627219;0.88125;169.0
Arbeit;0.9609423434593924;0.9929532351057014;0.9766855702583491;1561.0
Bauen, Wohnen;1.0;0.8571428571428571;0.9230769230769231;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9771341463414634;0.9510385756676558;0.9639097744360903;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7463126843657817;0.7207977207977208;0.7333333333333333;351.0
Denkmalschutz;0.8979591836734694;0.8301886792452831;0.8627450980392157;53.0
Europa;0.7857142857142857;0.5238095238095238;0.6285714285714286;21.0
Familie;0.9793388429752066;0.9404761904761905;0.9595141700404858;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9491525423728814;1.0;0.9739130434782609;56.0
Frauen;0.9615384615384616;0.5208333333333334;0.6756756756756757;48.0
Gesundheit;0.9345454545454546;0.9097345132743363;0.9219730941704036;565.0
Gleichstellung;0.8625954198473282;0.8968253968253969;0.8793774319066148;126.0
Integration;0.8674698795180723;0.8372093023255814;0.8520710059171598;344.0
Internationales;0.75;0.6;0.6666666666666666;5.0
Jugend;0.9114832535885168;0.9532944120100083;0.9319200978393803;1199.0
Justiz;0.9782608695652174;0.9782608695652174;0.9782608695652174;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.8695652173913043;0.45454545454545453;0.5970149253731343;44.0
Kultur;0.8476011288805269;0.9605543710021321;0.9005497251374313;938.0
Medien;1.0;0.5;0.6666666666666666;4.0
Pflege;0.9528301886792453;0.9181818181818182;0.9351851851851852;110.0
Sicherheit, Ordnung;0.9333333333333333;0.875;0.9032258064516129;32.0
Soziales;0.8920863309352518;0.8671328671328671;0.8794326241134752;572.0
Sport;0.9925187032418953;0.9884105960264901;0.990460389879718;1208.0
Stadtentwicklung;0.8795180722891566;0.8051470588235294;0.8406909788867563;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9468599033816425;0.8521739130434782;0.897025171624714;230.0
Verbraucherschutz;0.8125;0.65;0.7222222222222222;40.0
Verkehr;0.9819819819819819;0.9864253393665159;0.9841986455981941;221.0
Wirtschaft;0.999559277214632;0.9991189427312775;0.9993390614672836;2270.0
Wissenschaft;1.0;0.7317073170731707;0.8450704225352113;41.0
accuracy;0.9394599303135889;0.9394599303135889;0.9394599303135889;0.9394599303135889
macro avg;0.8626430106022371;0.7792275566916487;0.8115633127536503;11480.0
weighted avg;0.9397262152828268;0.9394599303135889;0.9383005591989685;11480.0
