;precision;recall;f1-score;support
Antidiskriminierung;0.42038216560509556;0.7810650887573964;0.546583850931677;169.0
Arbeit;0.842355740630577;0.9071108263933376;0.8735348550277606;1561.0
Bauen, Wohnen;0.14074074074074075;0.9047619047619048;0.24358974358974358;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.8087520259319287;0.7403560830860534;0.7730441518202944;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.2804503582395087;0.7806267806267806;0.4126506024096386;351.0
Denkmalschutz;0.4716981132075472;0.9433962264150944;0.6289308176100629;53.0
Europa;0.2608695652173913;0.5714285714285714;0.3582089552238806;21.0
Familie;0.595108695652174;0.8690476190476191;0.7064516129032258;252.0
Finanzen;0.8;1.0;0.8888888888888888;4.0
Forschung;0.9;0.9642857142857143;0.9310344827586207;56.0
Frauen;0.13937282229965156;0.8333333333333334;0.23880597014925373;48.0
Gesundheit;0.6198630136986302;0.32035398230088497;0.4224037339556593;565.0
Gleichstellung;0.5454545454545454;0.8571428571428571;0.6666666666666666;126.0
Integration;0.311284046692607;0.23255813953488372;0.26622296173044924;344.0
Internationales;0.21052631578947367;0.8;0.3333333333333333;5.0
Jugend;0.9801324503311258;0.3703085904920767;0.5375302663438256;1199.0
Justiz;1.0;0.9565217391304348;0.9777777777777777;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.1834862385321101;0.9090909090909091;0.3053435114503817;44.0
Kultur;0.9399624765478424;0.5341151385927505;0.681169272603671;938.0
Medien;0.15384615384615385;0.5;0.23529411764705882;4.0
Pflege;0.5578231292517006;0.7454545454545455;0.6381322957198443;110.0
Sicherheit, Ordnung;0.4225352112676056;0.9375;0.5825242718446602;32.0
Soziales;0.5806451612903226;0.1888111888111888;0.2849604221635884;572.0
Sport;1.0;0.9048013245033113;0.9500217296827467;1208.0
Stadtentwicklung;0.3115264797507788;0.7352941176470589;0.437636761487965;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.9273743016759777;0.7217391304347827;0.8117359413202934;230.0
Verbraucherschutz;0.7948717948717948;0.775;0.7848101265822784;40.0
Verkehr;0.990521327014218;0.9457013574660633;0.9675925925925926;221.0
Wirtschaft;1.0;0.9933920704845814;0.9966850828729282;2270.0
Wissenschaft;0.96875;0.7560975609756098;0.8493150684931506;41.0
accuracy;0.7254355400696864;0.7254355400696864;0.7254355400696864;0.7254355400696864
macro avg;0.5674479022981094;0.7024779625061794;0.572839995799435;11480.0
weighted avg;0.8175337439789672;0.7254355400696864;0.7333975370758017;11480.0
