;precision;recall;f1-score;support
Antidiskriminierung;0.37249283667621774;0.7692307692307693;0.5019305019305019;169.0
Arbeit;0.8090154211150652;0.8737988468930173;0.840160147828765;1561.0
Bauen, Wohnen;0.1232876712328767;0.8571428571428571;0.2155688622754491;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.8046875;0.6112759643916914;0.6947723440134908;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.2627599243856333;0.792022792022792;0.39460610361958837;351.0
Denkmalschutz;0.36231884057971014;0.9433962264150944;0.5235602094240838;53.0
Europa;0.15942028985507245;0.5238095238095238;0.24444444444444444;21.0
Familie;0.42359767891682787;0.8690476190476191;0.5695708712613784;252.0
Finanzen;0.8;1.0;0.8888888888888888;4.0
Forschung;0.796875;0.9107142857142857;0.85;56.0
Frauen;0.09443099273607748;0.8125;0.16919739696312364;48.0
Gesundheit;0.5843137254901961;0.26371681415929205;0.36341463414634145;565.0
Gleichstellung;0.5;0.8095238095238095;0.6181818181818182;126.0
Integration;0.18222222222222223;0.11918604651162791;0.14411247803163443;344.0
Internationales;0.19047619047619047;0.8;0.3076923076923077;5.0
Jugend;0.9908814589665653;0.2718932443703086;0.42670157068062825;1199.0
Justiz;0.8958333333333334;0.9347826086956522;0.9148936170212766;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.12292358803986711;0.8409090909090909;0.2144927536231884;44.0
Kultur;0.9520958083832335;0.3390191897654584;0.5;938.0
Medien;0.13333333333333333;0.5;0.21052631578947367;4.0
Pflege;0.48936170212765956;0.6272727272727273;0.549800796812749;110.0
Sicherheit, Ordnung;0.26785714285714285;0.9375;0.4166666666666667;32.0
Soziales;0.48672566371681414;0.09615384615384616;0.16058394160583941;572.0
Sport;1.0;0.8692052980132451;0.9300265721877768;1208.0
Stadtentwicklung;0.2833333333333333;0.6875;0.4012875536480687;272.0
Tierschutz;0.0;0.0;0.0;2.0
Umwelt;0.8776595744680851;0.717391304347826;0.7894736842105263;230.0
Verbraucherschutz;0.7714285714285715;0.675;0.72;40.0
Verkehr;0.9852941176470589;0.9095022624434389;0.9458823529411765;221.0
Wirtschaft;1.0;0.9929515418502203;0.9964633068081344;2270.0
Wissenschaft;0.96875;0.7560975609756098;0.8493150684931506;41.0
accuracy;0.6678571428571428;0.6678571428571428;0.6678571428571428;0.6678571428571428
macro avg;0.521605497541284;0.6597045071768688;0.5110067252872021;11480.0
weighted avg;0.7940571618638282;0.6678571428571428;0.6729208307451942;11480.0
