;precision;recall;f1-score;support
Antidiskriminierung;0.7440758293838863;0.9289940828402367;0.8263157894736842;169.0
Arbeit;0.9819121447028424;0.9737347853939782;0.9778063686072692;1561.0
Bauen, Wohnen;0.9473684210526315;0.8571428571428571;0.9;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.9453471196454948;0.9495548961424333;0.9474463360473723;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.7038961038961039;0.7720797720797721;0.7364130434782609;351.0
Denkmalschutz;0.7833333333333333;0.8867924528301887;0.831858407079646;53.0
Europa;0.5;0.42857142857142855;0.46153846153846156;21.0
Familie;0.9166666666666666;0.9603174603174603;0.937984496124031;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9333333333333333;1.0;0.9655172413793104;56.0
Frauen;0.4788732394366197;0.7083333333333334;0.5714285714285714;48.0
Gesundheit;0.9261992619926199;0.8884955752212389;0.9069557362240289;565.0
Gleichstellung;0.8082191780821918;0.9365079365079365;0.8676470588235294;126.0
Integration;0.8166189111747851;0.8284883720930233;0.8225108225108225;344.0
Internationales;0.26666666666666666;0.8;0.4;5.0
Jugend;0.9559352517985612;0.8865721434528774;0.9199480744266552;1199.0
Justiz;0.9375;0.9782608695652174;0.9574468085106383;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5555555555555556;0.7954545454545454;0.6542056074766355;44.0
Kultur;0.9051819184123484;0.8752665245202559;0.8899728997289973;938.0
Medien;0.058823529411764705;0.5;0.10526315789473684;4.0
Pflege;0.9541284403669725;0.9454545454545454;0.9497716894977168;110.0
Sicherheit, Ordnung;0.8157894736842105;0.96875;0.8857142857142857;32.0
Soziales;0.8729582577132486;0.8409090909090909;0.8566340160284951;572.0
Sport;0.9974811083123426;0.9834437086092715;0.9904126719466444;1208.0
Stadtentwicklung;0.7785234899328859;0.8529411764705882;0.8140350877192982;272.0
Tierschutz;0.25;0.5;0.3333333333333333;2.0
Umwelt;0.9565217391304348;0.8608695652173913;0.9061784897025171;230.0
Verbraucherschutz;0.8285714285714286;0.725;0.7733333333333333;40.0
Verkehr;0.9819819819819819;0.9864253393665159;0.9841986455981941;221.0
Wirtschaft;1.0;0.9947136563876652;0.9973498233215548;2270.0
Wissenschaft;1.0;0.8292682926829268;0.9066666666666666;41.0
accuracy;0.927439024390244;0.927439024390244;0.927439024390244;0.927439024390244
macro avg;0.7687956995074661;0.8263232003301493;0.7836839663629591;11480.0
weighted avg;0.9341548163135165;0.927439024390244;0.9298524744056623;11480.0
