;precision;recall;f1-score;support
Antidiskriminierung;0.7894736842105263;0.8875739644970414;0.8356545961002786;169.0
Arbeit;0.9207021791767555;0.974375400384369;0.9467787114845938;1561.0
Bauen, Wohnen;0.9047619047619048;0.9047619047619048;0.9047619047619048;21.0
Berlin-Image;0.0;0.0;0.0;1.0
Bildung;0.8913043478260869;0.9124629080118695;0.9017595307917888;674.0
Bürgerschaftliches Engagement, Bürgerbeteiligung;0.49635036496350365;0.7749287749287749;0.6051167964404894;351.0
Denkmalschutz;0.7666666666666667;0.8679245283018868;0.8141592920353983;53.0
Europa;0.5882352941176471;0.47619047619047616;0.5263157894736842;21.0
Familie;0.8778625954198473;0.9126984126984127;0.8949416342412452;252.0
Finanzen;1.0;1.0;1.0;4.0
Forschung;0.9333333333333333;1.0;0.9655172413793104;56.0
Frauen;0.4868421052631579;0.7708333333333334;0.5967741935483871;48.0
Gesundheit;0.8594377510040161;0.7575221238938054;0.8052681091251176;565.0
Gleichstellung;0.7733333333333333;0.9206349206349206;0.8405797101449275;126.0
Integration;0.6997084548104956;0.6976744186046512;0.6986899563318777;344.0
Internationales;0.2222222222222222;0.8;0.34782608695652173;5.0
Jugend;0.9243452958292919;0.7948290241868223;0.8547085201793722;1199.0
Justiz;1.0;0.9782608695652174;0.989010989010989;46.0
Kirchen, Religions-, Weltanschauungsgemeinschaften;0.5645161290322581;0.7954545454545454;0.660377358490566;44.0
Kultur;0.8684807256235828;0.8166311300639659;0.8417582417582418;938.0
Medien;0.5;0.5;0.5;4.0
Pflege;0.9181818181818182;0.9181818181818182;0.9181818181818182;110.0
Sicherheit, Ordnung;0.8108108108108109;0.9375;0.8695652173913043;32.0
Soziales;0.810752688172043;0.6590909090909091;0.7270973963355835;572.0
Sport;0.9982698961937716;0.9552980132450332;0.9763113367174281;1208.0
Stadtentwicklung;0.6100278551532033;0.8051470588235294;0.694136291600634;272.0
Tierschutz;0.25;0.5;0.3333333333333333;2.0
Umwelt;0.9585492227979274;0.8043478260869565;0.8747044917257684;230.0
Verbraucherschutz;0.8181818181818182;0.675;0.7397260273972602;40.0
Verkehr;0.9907407407407407;0.9683257918552036;0.9794050343249427;221.0
Wirtschaft;1.0;0.994273127753304;0.9971283410647228;2270.0
Wissenschaft;0.9696969696969697;0.7804878048780488;0.8648648648648649;41.0
accuracy;0.8837979094076656;0.8837979094076656;0.8837979094076656;0.8837979094076656
macro avg;0.7563371314851166;0.7981377839195875;0.765764150474761;11480.0
weighted avg;0.8958165292900173;0.8837979094076656;0.8866208601478506;11480.0
