empfaengerid,2020,2021,2022,2023,2024
eb_100002,"landsberger allee 116/117, 10407 berlin","landsberger allee 116/117a, 10407 berlin","stettiner strasse 21-23, 13357 berlin","stettiner strasse 21-23, 13357 berlin","stettiner strasse 21-23, 13357 berlin"
eb_100004,"gross-berliner damm 151-153, 12489 berlin","gross-berliner-damm 151-153, 12489 berlin","gross-berliner damm 151, 12489 berlin","gross-berliner damm 151, 12489 berlin","gross-berliner-damm 151-153, 12489 berlin"
gnr_000142,,,"hussitenstrasse 22 a, 13355 berlin","hussitenstrasse 22 a, 13355 berlin","hussitenstrasse 22a, 13355 berlin"
gnr_000424,"john-schehr-strasse 36, 10407 berlin","laubestrasse 2, 12045 berlin",,"kreuzbergstrasse 37/38 / aufgang 2, 10965 berlin",
gnr_000434,,"ohlauer strasse 36, 10999 berlin","mariannenstrasse 48, 10997 berlin",,
gnr_000483,,"suermondtstrasse 26 a, 13053 berlin",,"suermondtstrasse 26a, 13053 berlin",
gnr_000569,"schönhauser allee 59, 10437 berlin","choriner strasse 12, 10119 berlin",,,
gnr_000577,"hosemannstrasse 16, 10409 berlin","adalbertstrasse 82, 10997 berlin","adalbertstrasse 82, 10997 berlin","adalbertstrasse 52, 10997 berlin",
gnr_000617,"naunynstrasse 72, 10997 berlin","mariannenstrasse 6, 10997 berlin","mariannenstrasse 6, 10997 berlin",,
gnr_000654,"brückenstrasse 1, 10179 berlin","brückenstrasse 1, 10179 berlin","brückenstrasse 1, 10179 berlin","köpenicker strasse 7, 10997 berlin","köpenicker strasse 7, 10997 berlin"
gnr_000715,"lietzenburger strasse 44, 10789 berlin","lietzenburger strasse 44, 10789 berlin",,"lietzenbruger strasse 44, 10789 berlin",
gnr_000821,"hausotterstrasse 49, 13409 berlin","hausotterstrasse 49, 13409 berlin","hausotterstrasse 49, 13409 berlin","hausotterstrasse 52, 13409 berlin","hausotterstrasse 49, 13409 berlin"
hra_012964,"attilastrasse 52-58, 12105 berlin","attilastrasse 52-58, 12105 berlin",,"kiefholzstrasse 60/66, 12057 berlin","kiefholzstrasse 60/66, 12057 berlin"
hra_014212,,"waldstrasse 80/81, 13403 berlin","waldstrasse 80-81, 13403 berlin",,"waldstrasse 80-81, 13403 berlin"
hra_029348,,,"wendenschlossstrasse 350-354, 12557 berlin","wendenschlossstrasse 350-354, 12577 berlin",
hra_042524,,,"landsberger allee 131 c, 10369 berlin","landsberger allee 131c, 10369 berlin",
hra_044093,,"bismarckstrasse 73, 10627 berlin","tauentzienstrasse 11, 10789 berlin",,
hra_045329,,,"landsberger allee 68a, 10249 berlin","landsberger allee 68 a, 10249 berlin","landsberger allee 68a, 10249 berlin"
hra_045870,,"huttenstrasse 42, 10553 berlin",,"huttenstrasse 41-44, 10553 berlin",
hra_047902,"innungsstrasse 56 a, 13509 berlin",,"innungsstrasse 56a, 13509 berlin",,
hra_048919,,"spiekermannstrasse 31a, 13189 berlin","spiekermannstrasse 31 a, 13189 berlin",,
hra_050203,,"lehrter strasse 57 / haus 1, 10557 berlin",,"goerzallee 299, 14167 berlin",
hra_054761,"ostendstrasse 25, haus 6, 12459 berlin",,,"ostendstrasse 25, 12459 berlin",
hra_057812,,"skalitzer strasse 33b, 10999 berlin","skalitzer strasse 33 b, 10999 berlin",,
hrb_000396,"wilhelmsruher damm 142, 13439 berlin","stiftsweg 1, 13187 berlin","stiftsweg 1, 13187 berlin","stiftsweg 1, 13187 berlin","stiftsweg 1, 13187 berlin"
hrb_001265,"potsdamer strasse 2, 10785 berlin","potsdamer strasse 2, 10785 berlin","potsdamer strasse 2, 10785 berlin","potsdamer strasse 2, 10785 berlin","am sudio 16, 12489 berlin"
hrb_003445,"alt-moabit 101 a, 10559 berlin","alt-moabit 101a, 10559 berlin","alt-moabit 101a, 10559 berlin","alt-moabit 101a, 10559 berlin","alt-moabit 101a, 10559 berlin"
hrb_003760,"tiergartenstrasse 30-31, 10758 berlin","tiergartenstrasse 30-31, 10785 berlin","tiergartenstrasse 30-31, 10785 berlin","tiergartenstrasse 30-31, 10785 berlin",
hrb_005485,"westerwaldstrasse 20, 13589 berlin","gorgasring 11, 13599 berlin",,,
hrb_005705,,"friedenshortstrasse 46, 57258 freudenberg",,"mozartstrasse 21-22, 12307 berlin",
hrb_006445,"revaler strasse 100, 10245 berlin","revaler strasse 100, 10243 berlin","modersohnstrasse 36, 10245 berlin",,
hrb_007119,,"benzstrasse 53, 12277 berlin","benzstrasse 35-53, 12277 berlin",,
hrb_008089,"kohlfurter strasse 41-43, 10999 berlin","kohlfurter strasse 41-43, 10999 berlin","kohlfurter strasse 41-43, 10999 berlin","kohlfurter strasse 41 - 43, 10999 berlin","kohlfurter strasse 41-43, 10999 berlin"
hrb_008297,"bismarckstrasse 110, 10625 berlin","bismarckstrasse 110, 10625 berlin","bismarckstrasse 110, 10625 berlin","kurfürstendamm 206-209, 10719 berlin",
hrb_009456,"spanische allee 10 - 14, 14129 berlin",,,"spanische allee 10-14, 14129 berlin","spanische allee 10-14, 14129 berlin"
hrb_010523,,"geneststrasse 5, 10829 berlin","geneststrasse 5, aufgang d, 10829 berlin",,
hrb_012300,"werner-von-siemens-strasse1, 80333 münchen",,,"werner-von-siemens-strasse 1, 80333 münchen",
hrb_013892,"kamenzer damm 85, 12249 berlin","kamenzer damm 85, 12149 berlin","kamenzer damm 85, 12149 berlin",,
