empfaengerid,rows,years,names,addresses
kör_100061,58,5,7,15
nr_100048,60,5,3,11
vr_002656,59,5,8,8
vr_000222,57,5,2,8
nr_100309,83,5,13,7
kör_100038,52,5,9,7
sör_100011,117,5,7,7
vr_000566,100,5,4,7
hrb_137252,75,5,4,7
hrb_041860,246,5,3,7
vr_003683,134,5,3,7
hrb_182632,172,5,2,7
vr_012097,115,5,2,7
hrb_204832,10,5,1,7
vr_007649,105,5,10,6
spr_100022,222,5,9,6
vr_001664,51,5,9,6
kör_100005,92,5,7,6
kör_100058,97,5,6,6
vr_016650,78,5,6,6
hrb_108537,225,5,4,6
hrb_113084,87,5,4,6
hrb_138636,144,5,3,6
spr_100076,65,5,3,6
vr_010644,62,5,3,6
hrb_049649,39,5,3,6
vr_001513,39,5,2,6
vr_012515,15,5,2,6
vr_027951,58,5,1,6
hrb_000396,21,5,1,6
vr_017661,62,5,8,5
hrb_122882,216,5,7,5
spr_100133,29,5,7,5
vr_035703,59,5,6,5
hrb_173355,68,5,5,5
vr_025031,23,5,5,5
vr_005213,15,5,5,5
hrb_143478,194,5,4,5
hrb_038362,20,5,4,5
hrb_213866,16,5,4,5
vr_014410,88,5,3,5
vr_012742,80,5,3,5
hrb_041212,64,5,3,5
nr_100002,44,5,3,5
hrb_044819,26,3,3,5
kör_100176,23,5,3,5
hrb_224620,17,5,3,5
nr_100815,15,5,3,5
vr_003776,13,5,3,5
vr_036095,11,5,3,5
hrb_066700,73,5,2,5
hrb_077901,39,5,2,5
vr_002692,28,5,2,5
spr_100059,15,5,2,5
vr_036417,14,5,2,5
spr_100040,13,5,2,5
vr_035483,13,5,2,5
vr_019329,10,5,2,5
hrb_146003,8,5,2,5
hrb_212465,5,3,2,5
vr_034144,5,4,2,5
vr_019918,24,5,1,5
vr_023269,14,5,1,5
hrb_196055,10,4,1,5
vr_035096,7,4,1,5
hrb_243246,6,2,1,5
gnr_000757,5,1,1,5
vr_005628,294,5,11,4
hrb_094285,147,5,10,4
vr_016394,26,5,9,4
kör_100104,238,5,8,4
vr_020554,28,5,8,4
kör_100199,216,5,7,4
sör_100016,172,5,7,4
hrb_121600,159,5,7,4
hrb_162754,307,5,5,4
vr_009361,67,5,5,4
vr_007930,51,5,5,4
vr_011284,39,5,5,4
vr_012174,29,5,5,4
spr_100008,13,5,5,4
vr_001141,13,5,5,4
vr_004218,7,3,5,4
hrb_030373,119,5,4,4
kör_100062,53,5,4,4
vr_006590,43,5,4,4
hrb_082787,36,5,4,4
kör_100060,32,5,4,4
hrb_185666,22,5,4,4
hrb_038757,19,5,4,4
hrb_134136,19,5,4,4
hrb_079310,17,5,4,4
hrb_128577,15,5,4,4
kör_100063,15,5,4,4
vr_001083,13,5,4,4
hrb_169036,9,5,4,4
kör_100181,6,4,4,4
vr_035476,5,4,4,4
nr_100083,65,5,3,4
vr_015710,63,5,3,4
vr_009939,52,5,3,4
vr_000022,48,5,3,4
vr_010876,48,5,3,4
hrb_071999,39,5,3,4
hrb_094989,33,5,3,4
hrb_060456,32,5,3,4
hrb_029357,26,5,3,4
vr_013696,23,5,3,4
hrb_163114,20,5,3,4
vr_004001,18,5,3,4
vr_035946,18,5,3,4
sör_100013,16,5,3,4
vr_018245,13,5,3,4
vr_030346,13,5,3,4
gnr_000577,10,4,3,4
nr_100587,10,5,3,4
vr_007210,10,5,3,4
vr_002660,9,5,3,4
vr_005532,6,4,3,4
spr_100113,5,4,3,4
gnr_000424,4,3,3,4
vr_026263,4,2,3,4
vr_016789,164,5,2,4
hrb_044197,70,5,2,4
hrb_110342,66,5,2,4
hrb_095854,55,5,2,4
hrb_151518,47,5,2,4
vr_014064,41,5,2,4
eb_100004,31,5,2,4
vr_036221,30,5,2,4
nr_100624,28,5,2,4
vr_001176,26,5,2,4
hrb_040362,24,5,2,4
hrb_091296,17,5,2,4
hrb_155097,16,5,2,4
hrb_099234,15,4,2,4
kör_100059,15,5,2,4
vr_004275,14,5,2,4
vr_013127,14,5,2,4
vr_009968,13,5,2,4
vr_031788,13,3,2,4
vr_032602,10,3,2,4
kör_100115,9,5,2,4
hrb_143370,8,5,2,4
vr_011765,8,5,2,4
hrb_214936,6,3,2,4
nr_101030,6,4,2,4
vr_000991,6,5,2,4
hrb_216337,5,2,2,4
nr_100043,5,5,2,4
nr_101189,5,3,2,4
vr_022264,5,2,2,4
vr_033691,4,4,2,4
hrb_041021,133,5,1,4
vr_021943,111,5,1,4
vr_011048,108,5,1,4
hrb_082422,78,5,1,4
vr_014520,32,5,1,4
vr_005441,31,5,1,4
vr_036070,27,5,1,4
vr_004098,22,5,1,4
vr_013295,21,5,1,4
vr_037847,18,5,1,4
vr_021478,16,5,1,4
vr_028728,16,5,1,4
vr_035643,16,5,1,4
vr_004476,15,5,1,4
vr_006530,15,5,1,4
vr_014903,15,5,1,4
hrb_248169,14,3,1,4
vr_038415,14,5,1,4
hrb_229323,11,4,1,4
vr_032336,11,5,1,4
hrb_193587,10,5,1,4
vr_038852,9,4,1,4
hrb_210119,8,4,1,4
hrb_228103,8,4,1,4
hrb_250483,8,2,1,4
vr_015617,8,5,1,4
hrb_212774,7,3,1,4
hrb_227540,7,3,1,4
hrb_234048,7,3,1,4
vr_034642,7,5,1,4
hrb_186965,6,2,1,4
hrb_209714,6,2,1,4
vr_012926,6,5,1,4
vr_019569,6,5,1,4
vr_025545,6,4,1,4
vr_032765,6,4,1,4
hrb_209254,5,3,1,4
hrb_243872,5,2,1,4
vr_001315,5,5,1,4
vr_037052,5,5,1,4
hrb_064315,4,3,1,4
hrb_253826,4,2,1,4
hrb_077849,29,5,12,3
vr_010713,112,5,10,3
vr_009276,85,5,10,3
vr_012205,51,5,10,3
vr_003849,21,5,8,3
vr_014096,26,5,7,3
vr_026275,47,5,6,3
vr_027747,35,5,6,3
hrb_146820,13,5,6,3
vr_004486,232,5,5,3
nr_100527,77,5,5,3
vr_000366,39,5,5,3
vr_031243,30,5,5,3
vr_025205,25,5,5,3
hrb_124070,24,5,5,3
vr_005353,23,5,5,3
vr_011107,22,5,5,3
kör_100013,15,5,5,3
vr_010187,160,5,4,3
vr_024148,152,5,4,3
vr_030118,133,5,4,3
kör_100042,60,5,4,3
hrb_031532,45,5,4,3
hrb_056919,35,4,4,3
vr_005935,32,5,4,3
vr_015266,24,5,4,3
kör_100102,20,5,4,3
hrb_137204,19,4,4,3
nr_100037,18,5,4,3
vr_018061,18,5,4,3
vr_002072,17,5,4,3
vr_002924,14,5,4,3
hrb_001217,7,3,4,3
vr_003357,7,5,4,3
vr_017229,6,5,4,3
hrb_057560,5,4,4,3
kör_100008,5,5,4,3
vr_021507,102,5,3,3
vr_000275,101,5,3,3
hrb_135629,82,5,3,3
hrb_135916,70,5,3,3
eb_100001,68,5,3,3
kör_100044,41,5,3,3
kör_100223,40,5,3,3
kör_100085,38,5,3,3
