empfaengerid,jahr,rows,names,addresses,representative_name,representative_address
nr_100048,2023,16,2,8,fraunhofer-gesellschaft zur förderung der angewandten forschung e. v.,"hansastrasse 27 c, 80686 münchen"
vr_002656,2024,20,6,7,gemeinwesenverein heerstr. nord,"obstallee 22 e, 13593 berlin"
kör_100061,2024,21,2,7,freie universität berlin,"kaiserswerther strasse 16-18, 14195 berlin"
kör_100061,2023,11,2,7,freie universität berlin,"kaiserswerther strasse 16-18, 14195 berlin"
vr_003683,2023,28,3,6,mittelhof,"königstrasse 42-43, 14163 berlin"
vr_016650,2023,21,3,6,diakonisches werk steglitz und teltow-zehlendorf e. v.,"hindenburgdamm 101 b, 12203 berlin"
vr_007649,2024,22,7,5,notdienst für suchtmittelgefährdete und -abhängige berlin e. v.,"genthiner strasse 48, 10785 berlin"
nr_100309,2020,12,4,5,internationaler bund - ib berlin-brandenburg ggmbh für bildung und soziale dienste (ib berlin-brandenburg ggmbh),"rigaer strasse 44, 10247 berlin"
kör_100061,2021,11,4,5,freie universität berlin,"kaiserswerther strasse 16-18, 14195 berlin"
hrb_108537,2024,17,3,5,"wetek berlin ggmbh, gemeinnützige gesellschaft für qualifizierung, ausbildung und jugendkultur","christinenstrasse 18-19, 10119 berlin"
sör_100011,2020,15,3,5,pestalozzi-fröbel-haus,"karl-schrader-strasse 7-8, 10781 berlin"
kör_100061,2022,9,3,5,freie universität berlin,"kaiserwerther strasse 16-18, 14195 berlin"
kör_100176,2021,9,3,5,evangelische hochschule berlin,"teltower damm 118 - 122, 14167 berlin"
hrb_041860,2022,53,2,5,pfefferwerk stadtkultur ggmbh,"christinenstrasse 18/19, 10119 berlin"
vr_012097,2020,22,2,5,offensiv 91 e. v.,"hasselwerder strasse 38/40, 12439 berlin"
hrb_113084,2024,16,2,5,gsj - gesellschaft für sport und jugendsozialarbeit ggmbh,"hanns-braun-strasse, friesenhaus ii, 14053 berlin"
hrb_138636,2023,34,1,5,jugendwerk aufbau ost jao ggmbh,"nossener strasse 87 - 89, 12627 berlin"
vr_000222,2024,15,1,5,arbeiterwohlfahrt landesverband berlin e. v.,"hallesches ufer 30 a, 10963 berlin"
vr_027951,2024,14,1,5,kungerkiezinitiative e. v.,"kiefholzstrasse 20, 12435 berlin"
gnr_000757,2020,5,1,5,diese eg,"krossener strasse 36, 10246 berlin"
hrb_000396,2021,5,1,5,gesobau ag,"stiftsweg 1, 13187 berlin"
nr_100309,2023,24,10,4,internationaler bund - ib berlin-brandenburg ggmbh für bildung und soziale dienste (ib berlin-brandenburg ggmbh),"rigaer strasse 44, 10247 berlin"
nr_100309,2022,22,7,4,internationaler bund - ib berlin-brandenburg ggmbh für bildung und soziale dienste (ib berlin-brandenburg ggmbh),"rigaer strasse 44, 10247 berlin"
