name_norm,anschrift_norm,ids,rows,empfaengerids
outreach ggmbh,"axel-springer-strasse 40/41, 10969 berlin",2,141,hrb_182632 | hrb_185666
grün berlin gmbh,"ullsteinhaus, mariendorfer damm 1, 12099 berlin",2,122,hbr_015772 | hrb_015772
diakoniewerk simeon ggmbh,"rübelandstrasse 9, 12053 berlin",2,88,hrb_132351 | hrb_135305
stadtteilverein tiergarten e. v.,"pohlstrasse 91, 10785 berlin",2,45,vr_008186 | vr_0088186
euro-schulen berlin brandenburg gmbh,"berliner strasse 66, 13507 berlin",2,30,hrb_077665 | nr_100090
dreieins innovative pädagogik ggmbh,"storkower strasse 99, 10407 berlin",2,26,hrb_094898 | hrb_094989
db station&service ag,"koppenstrasse 3, 10243 berlin",2,20,hrb_087691 | nr_100527
evangelische schulstiftung in der ekbo,"georgenkirchstrasse 69, 10249 berlin",2,19,spr_100008 | sör_100016
stadtbewegung e. v.,"wilhelmine-gemberg-weg 10, 10179 berlin",2,19,vr_035703 | vr_035859
sozial-kulturelle netzwerke casa,"moritzstrasse 2, 13597 berlin",2,16,vr_007930 | vr_010187
gfaj e. v.,"marienburger strasse 16, 10405 berlin",2,15,vr_003718 | vr_012710
bildungs- und sozialwerk des lesben- und schwulenverbandes berlin-brandenburg (blsb) e. v.,"feurigstrasse 54, 10827 berlin",2,13,vr_026275 | vr_034451
kleiner fratz gmbh,"neuköllnische allee, 154, 12057 berlin",2,13,hrb_137252 | hrb_226400
evangelische kirchengemeinde berlin-lichtenrade,"goltzstrasse 33, 12307 berlin",2,12,kör_100017 | kör_100022
violence prevention network ggmbh,"alt reinickendorf 25, 13407 berlin",2,12,hrb_221974 | vr_035558
helmholtz-zentrum berlin für materialien und energie (hzb),"hahn-meitner-platz 1, 14109 berlin",2,11,hrb_005583 | nr_100048
bahnengolf-verband berlin-brandenburg e. v.,"bruchwitzstrasse 17, 12247 berlin",2,8,vr_004053 | vr_047053
degewo süd wohnungsgesellschaft mbh,"potsdamer strasse 60, 10785 berlin",2,8,hrb_035230 | hrb_153629
sport-club lurich 02 e. v.,"köpenicker strasse 154, 10997 berlin",2,7,vr_001083 | vr_003189
erster weiblicher aufbruch e. v.,"prenzlauer allee 6, 10405 berlin",2,6,vr_010815 | vr_010956
hochschulsportverband berlin e. v.,"königin-luise-strasse 47, 14195 berlin",2,6,vr_003768 | vr_024827
forschungsinstitut betriebliche bildung (f-bb) ggmbh,"rollnerstrasse 14, 90458 nürnberg",2,5,hrb_173355 | nr_100370
gewobag wb wohnen in berlin gmbh,"alt-moabit 101 a, 10559 berlin",2,5,hrb_000555 | hrb_003445
grone-bildungszentren berlin gmbh - gemeinnützig -,"eichenstrasse 3 b, 12435 berlin",2,5,hrb_056919 | nr_101286
katholische kirchengemeinde maria unter dem kreuz,"hildegardstrasse 3a, 10715 berlin",2,5,kör_100050 | kör_100154
berliner leichtathletik-verband e. v.,"hanns-braun-strasse/turnhaus, 14053 berlin",2,4,vr_001256 | vr_001265
bqn berlin,"apostel-paulus-strasse 26, 10823 berlin",2,4,vr_027051 | vr_030346
degewo ag,"potsdamer strasse 60, 10785 berlin",2,4,hrb_001217 | hrb_035230
degewo köpenicker wohnungsgesellschaft mbh,"potsdamer strasse 60, 10785 berlin",2,4,hrb_035230 | hrb_042979
freude kindergärten süd-ost ggmbh,"müllerstrasse 134a, 13349 berlin",2,4,hrb_150987 | hrb_199122
diakonisches werk tempelhof-schöneberg ggmbh,"götzstrasse 24 a, 12099 berlin",2,3,hrb_132351 | hrb_153882
hochschule für schauspielkunst ernst busch,"zinnowitzer strasse 11, 10115 berlin",2,3,kör_100174 | kör_100175
juwo-kita ggmbh,"hobrechtstrasse 55, 12047 berlin",2,3,hrb_124070 | hrb_137855
thfwelcome e.v,"yorckstrasse 82, 10965 berlin",2,3,vr_005213 | vr_034767
verschiedene natürliche personen,---,2,3,0 | ohne
"abw - arbeit, bildung, wohnen e. v.","sophie-charlotten-strasse 83a, 14059 berlin",2,2,hrb_113331 | vr_009468
awo kreisverband berlin-mitte e. v.,"hochstädter strasse 1, 13347 berlin",2,2,vr_000222 | vr_010713
berliner frauenforum e. v.,"strasse am schoelerpark 37, 10715 berlin",2,2,vr_037596 | vr_37596b vr_037596
berthold-otto-schule,"holbeinstrasse 21, 12203 berlin",2,2,gnr_000883 | vr_011803
bqn berlin,"westhafenstrasse 1, 13353 berlin",2,2,vr_027051 | vr_030346
contag ag,"päwesiner weg 30, 13581 berlin",2,2,hrb_096924 | hrb_144862
ev. kirchenkreis spandau,"jüdenstrasse 37, 13597 berlin",2,2,kör_100038 | kör_100066
generationenraum gemeinnützige gesellschaft zur förderung generationsübergreifender interaktion mbh,"stephanstrasse 53, 10560 berlin",2,2,hrb_138458 | hrb_138459
hero zukunft,"havemannstrasse 12 b, 12689 berlin",2,2,hrb_216221 | nr_100691
kleingartenanlage grönland e. v.,"süderbrokweg 30, 10407 berlin",2,2,vr_012828 | vr_015254
m.i.q.-sozialstation ggmbh,"trautenaustrasse 5, 10717 berlin",2,2,hrb_210807 | hrb_216680
ohgee academy berlin e. v.,"schwyzer strasse 20, 13349 berlin",2,2,vr_031456 | vr_036961
stephanus,"albertinenstrasse 20, 13086 berlin",2,2,hrb_103965 | hrb_122935
waldorfkindergarten zehlendorf e. v.,"lindenthaler allee 14-16, 14163 berlin",2,2,vr_003718 | vr_012710
